cognitivebiasID:ID,name,definition,:LABEL
actorobserverbias3,Actor-observer bias,"tendency for explanations of other individuals' behaviors to overemphasize influence of their personality and underemphasize influence of their situation see also fundamental attribution error , and for explanations of one's own behaviors to do opposite ",CognitiveBias
additivebias3,Additive bias,"tendency to solve problems through addition, even when subtraction is better approach",CognitiveBias
agentdetection3,Agent detection,inclination to presume purposeful intervention of sentient or intelligent agent,CognitiveBias
ambiguityeffect3,Ambiguity effect,tendency to avoid options for which probability of favorable outcome is unknown,CognitiveBias
anchoringorfocalism3,Anchoringor focalism,"tendency to rely too heavily, or anchor , on one trait or piece of information when making decisions usually first piece of information acquired on subject ",CognitiveBias
anthropocentricthinking3,Anthropocentric thinking,"tendency to use human analogies as basis for reasoning about other, less familiar, biological phenomena",CognitiveBias
anthropomorphism3,Anthropomorphism,"tendency to characterize animals, objects, and abstract concepts as possessing human-like traits, emotions, and intentions",CognitiveBias
attentionalbias3,Attentional bias,tendency of perception to be affected by recurring thoughts,CognitiveBias
attributesubstitution3,Attribute substitution,"occurs when judgment has to be made of target attribute is computationally complex, and instead more easily calculated heuristic attribute is substituted",CognitiveBias
authoritybias3,Authority bias,tendency to attribute greater accuracy to opinion of authority figure unrelated to its content and be more influenced by opinion,CognitiveBias
automationbias3,Automation bias,tendency to depend excessively on automated systems which can lead to erroneous automated information overriding correct decisions,CognitiveBias
availabilitycascade3,Availability cascade,self-reinforcing process which a collective belief gains more and more plausibility through its increasing repetition public discourse or repeat something long enough and it will become true ,CognitiveBias
availabilityheuristic3,Availability heuristic,"tendency to overestimate likelihood of events with greater availability memory, which can be influenced by how recent memories are or how unusual or emotionally charged they may be",CognitiveBias
baadermeinhofphenomenon3,BaaderMeinhof phenomenon,"frequency illusion is once something has been noticed then every instance of thing is noticed, leading to belief it has high frequency of occurrence a form of selection bias ",CognitiveBias
backfireeffect3,Backfire effect,reaction to disconfirming evidence by strengthening one's previous beliefs,CognitiveBias
bandwagoneffect3,Bandwagon effect,tendency to do or believe things because many other people do or believe same,CognitiveBias
barnumeffect3,Barnum effect,"observation individuals will give high accuracy ratings to descriptions of their personality supposedly are tailored specifically for them, but are fact vague and general enough to apply to wide range of people",CognitiveBias
baseratefallacy3,Base rate fallacy,"tendency to ignore general information and focus on information only pertaining to specific case, even when general information is more important",CognitiveBias
baserateneglect3,Base rate neglect,"tendency to ignore general information and focus on information only pertaining to specific case, even when general information is more important",CognitiveBias
beliefbias3,Belief bias,effect where someone's evaluation of logical strength of argument is biased by believability of conclusion,CognitiveBias
beliefrevision3,Belief Revision,tendency to revise one's belief insufficiently when presented with new evidence,CognitiveBias
benfranklineffect3,Ben Franklin effect,person who has performed favor for someone is more likely to do another favor for person than they would be if they had received a favor from person,CognitiveBias
berksonsparadox3,Berkson paradox,tendency to misinterpret statistical experiments involving conditional probabilities,CognitiveBias
biasblindspot3,Bias blind spot,"tendency to see oneself as less biased than other people, or to be able to identify more cognitive biases others than oneself",CognitiveBias
