:START_ID,name,:END_ID,:TYPE
ambiguityeffect3,Ambiguity effect,ability4,CONTAINS
availabilityheuristic3,Availability heuristic,ability4,CONTAINS
beliefbias3,Belief bias,ability4,CONTAINS
dunningkrugereffect3,Dunning-Kruger Effect,ability4,CONTAINS
dunningkrugereffect3,Dunning-Kruger Effect,ability4,CONTAINS
dunningkrugereffect3,Dunning-Kruger Effect,ability4,CONTAINS
dunningkrugereffect3,Dunning-Kruger Effect,ability4,CONTAINS
genderbias3,Gender bias,ability4,CONTAINS
hardeasyeffect3,Hard–easy effect,ability4,CONTAINS
learnedhelplessness3,Learned Helplessness,ability4,CONTAINS
neglectofprobability3,Neglect of probability,ability4,CONTAINS
optimismbias3,Optimism bias,ability4,CONTAINS
probabilitymatching3,Probability matching,ability4,CONTAINS
restraintbias3,Restraint bias,ability4,CONTAINS
subadditivityeffect3,Subadditivity effect,ability4,CONTAINS
genderbias3,Gender bias,absence4,CONTAINS
listlengtheffect3,List-length effect,absolute4,CONTAINS
anthropomorphism3,Anthropomorphism,abstract4,CONTAINS
personification3,personification,abstract4,CONTAINS
barnumeffect3,Barnum effect,accept4,CONTAINS
forereffect3,Forer effect,accept4,CONTAINS
learnedhelplessness3,Learned Helplessness,accept4,CONTAINS
pluralisticignorance3,Pluralistic Ignorance,accept4,CONTAINS
proportionalitybias3,Proportionality bias,accept4,CONTAINS
intentionalitybias3,Intentionality bias,accidental4,CONTAINS
hardeasyeffect3,Hard–easy effect,accomplish4,CONTAINS
impostersyndrome3,Imposter Syndrome,accomplish4,CONTAINS
puritanicalbias3,Puritanical bias,account4,CONTAINS
dispositioneffect3,Disposition effect,accumulate4,CONTAINS
authoritybias3,Authority bias,accuracy4,CONTAINS
barnumeffect3,Barnum effect,accuracy4,CONTAINS
contexteffect3,Context effect,accuracy4,CONTAINS
forereffect3,Forer effect,accuracy4,CONTAINS
illusionofvalidity3,Illusion of validity,accuracy4,CONTAINS
illusorycorrelation3,Illusory correlation,accurate4,CONTAINS
misinformationeffect3,Misinformation effect,accurate4,CONTAINS
anchoringorfocalism3,Anchoring or focalism,acquire4,CONTAINS
endowmenteffect3,Endowment Effect,acquire4,CONTAINS
endowmenteffect3,Endowment effect,acquire4,CONTAINS
lossaversion3,Loss aversion,acquiring4,CONTAINS
formfunctionattributionbias3,Form function attribution bias,acting4,CONTAINS
surrogation3,Surrogation,acting4,CONTAINS
additivebias3,Additive bias,action4,CONTAINS
backfireeffect3,Backfire effect,action4,CONTAINS
diffusionofresponsibility3,Diffusion of Responsibility,action4,CONTAINS
egocentricbias3,Egocentric bias,action4,CONTAINS
egocentricbias3,Egocentric bias,action4,CONTAINS
errorsofomissionvscommissionbias3,Errors of Omission vs. Commission Bias,action4,CONTAINS
formfunctionattributionbias3,Form function attribution bias,action4,CONTAINS
informationbias3,Information bias,action4,CONTAINS
intentionalitybias3,Intentionality bias,action4,CONTAINS
omissionbias3,Omission bias,action4,CONTAINS
ostracism3,Ostracism,action4,CONTAINS
