:START_ID,name,:END_ID,:TYPE
actorobserverbias3,Actor-observer bias,attributionbias2,TYPE_OF
additivebias3,Additive bias,egocentricbias2,TYPE_OF
agentdetection3,Agent detection,falsepriors2,TYPE_OF
ambiguityeffect3,Ambiguity effect,prospecttheory2,TYPE_OF
anthropocentricthinking3,Anthropocentric thinking,attributionbias2,TYPE_OF
anthropomorphism3,Anthropomorphism,attributionbias2,TYPE_OF
attentionalbias3,Attentional bias,attributionbias2,TYPE_OF
attributesubstitution3,Attribute substitution,attributionbias2,TYPE_OF
authoritybias3,Authority bias,associationfallacy2,TYPE_OF
automationbias3,Automation bias,falsepriors2,TYPE_OF
availabilitycascade3,Availability cascade,conformitybias2,TYPE_OF
availabilityheuristic3,Availability heuristic,attributionbias2,TYPE_OF
baadermeinhofphenomenon3,Baader–Meinhof phenomenon,attributionbias2,TYPE_OF
backfireeffect3,Backfire effect,confirmationbias2,TYPE_OF
bandwagoneffect3,Bandwagon effect,conformitybias2,TYPE_OF
barnumeffect3,Barnum effect,egocentricbias2,TYPE_OF
baseratefallacy3,Base rate fallacy,extensionneglect2,TYPE_OF
baserateneglect3,Base rate neglect,extensionneglect2,TYPE_OF
beliefbias3,Belief bias,truthiness2,TYPE_OF
beliefrevision3,Belief Revision,anchoringbias2,TYPE_OF
benfranklineffect3,Ben Franklin effect,cognitivedissonance2,TYPE_OF
biasblindspot3,Bias blind spot,egocentricbias2,TYPE_OF
bizarrenesseffect3,Bizarreness effect,egocentricbias2,TYPE_OF
cheerleadereffect3,Cheerleader effect,associationfallacy2,TYPE_OF
choicesupportivebias3,Choice-supportive bias,egocentricbias2,TYPE_OF
clusteringillusion3,Clustering illusion,apophenia2,TYPE_OF
commonsourcebias3,Common source bias,anchoringbias2,TYPE_OF
compassionfade3,Compassion fade,extensionneglect2,TYPE_OF
confirmationbias3,Confirmation bias,confirmationbias2,TYPE_OF
congruencebias3,Congruence bias,confirmationbias2,TYPE_OF
conjunctionfallacy3,Conjunction fallacy,extensionneglect2,TYPE_OF
conservatismbias3,Conservatism bias,anchoringbias2,TYPE_OF
consistencybias3,Consistency bias,logicalfallacy2,TYPE_OF
contexteffect3,Context effect,egocentricbias2,TYPE_OF
continuedinfluenceeffect3,Continued influence effect,confirmationbias2,TYPE_OF
contrasteffect3,Contrast effect,framingeffect2,TYPE_OF
courtesybias3,Courtesy bias,conformitybias2,TYPE_OF
crossraceeffect3,Cross-race effect,egocentricbias2,TYPE_OF
cryptomnesia3,Cryptomnesia,attributionbias2,TYPE_OF
curseofknowledge3,Curse of knowledge,egocentricbias2,TYPE_OF
declinism3,Declinism,logicalfallacy2,TYPE_OF
decoyeffect3,Decoy effect,framingeffect2,TYPE_OF
defaulteffect3,Default effect,framingeffect2,TYPE_OF
