acqsysID:ID,name,title,description,:LABEL
acqsys005976,419: acqsys005976,SD419 REQUEST FOR SERVICES,Workflow management tool for the coordination and approval of requests for Contract Advisory Assistance Sevices (CAAS) and coordination of AT&L requests for funds execution,PortfolioApplication
acqsys017666,1200: acqsys017666,1200 SYSTEM,The 1200 systems is a reporting systems that contains case level data showing the status of all cases from Letter of Request (LOR) through case closure,PortfolioApplication
acqsys002529,10L: acqsys002529,TEN LINERS,Database of highlights,PortfolioApplication
acqsys001699,2579DB: acqsys001699,2579 DATABASE,"Provides a means of tracking, analyzing and researching coordination records",PortfolioApplication
acqsys006167,2S6: acqsys006167,2S6 SIMULATION,The 2S6 Simulator software component demonstrates the capability of correlating the actions of the human in the loop operator(s) with the representation of the vehicle that is presented to the synthetic environment,PortfolioApplication
acqsys008898,303 AESW IDE: acqsys008898,303 AESW INTEGRATED DIGITAL ENVIRONMENT,"The ability to electronically access, share, and process data in support of any program cradle to grave",PortfolioApplication
acqsys010672,327ASW IDE: acqsys010672,327TH AIRCRAFT SUSTAINMENT WING INTEGRATED DATA ENVIRONMENT,Government owned organic technical order (TO) sustainment capability and digital data support services for 327ASW,PortfolioApplication
acqsys010037,419 FLTS TSO IFAST AVSIM PC: acqsys010037,419 FLTS TECHNICAL SERVICES OPERATIONS IFAST AVSIM PC,The purpose and /or function of this systems is to load software and interface with systems under test avionics mockup,PortfolioApplication
acqsys009634,46TG/746TS-MSRS1: acqsys009634,46TG/746 TS MOBILE SATELLITE REFERENCE STATION #1,The MSRS is a self-contained suite of military and civilian receivers and associated support and instrumentation equipment to collect GPS L-band data,PortfolioApplication
acqsys011955,4DOnlineBOM: acqsys011955,4DONLINE BILL OF MATERIAL MANAGER,"4DOnline BOM Manager accepts assembly parts lists, known as Bills of Material (BOMs), and provides current manufacturing status of electronic and certain non-electronic parts",PortfolioApplication
acqsys007749,516 AESW Oracle: acqsys007749,516TH AERONAUTICAL SYSTEMS WING ORACLE SYSTEM,The 516 AESW Oracle systems is an unclassified systems developed by the AF to support the Mobility and Training Aircraft (MATAC) and Presidential Executive and Airlift (PE) Directorates,PortfolioApplication
acqsys009690,A-10 3DM: acqsys009690,A-10 3D MODEL DATA MANAGEMENT SYSTEM,A-10 3DM is a COTS application titled TeamCenter Unified and stores master 3-dimensional solid models of the A-10 thick-skin wing,PortfolioApplication
acqsys001314,A-10 DDB: acqsys001314,A-10 DRAWING DATABASE,"It allows engineers to simultaneously access TOs, Drawings, Specs, and TCTOs",PortfolioApplication
acqsys002543,AAIS: acqsys002543,AUTOMATED ACQUISITION INFORMATION SYSTEM,"ACC-RI public facing webpage, AAIS functionality has bene subsumed by ASFI and ArmyHire respectively",PortfolioApplication
acqsys060001,AAMS: acqsys060001,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060002,AAMS : acqsys060002,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060003,AAMS : acqsys060003,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
acqsys060004,AAMS : acqsys060004,AAMS (Automated Acquisition Management Solution),The Automated Acquisition Management Solution (AAMS) is a commercial off-the-shelf (COTS) acquisition process solution addressing the full acquisition lifecycle,PortfolioApplication
