:START_ID,keyword,:END_ID,:TYPE
acqsys000351,form,nepssrskw002,CONTAINS
acqsys000351,data,nepssrskw003,CONTAINS
acqsys000351,format,nepssrskw006,CONTAINS
acqsys000351,report,nepssrskw014,CONTAINS
acqsys000351,process,nepssrskw027,CONTAINS
acqsys000351,auto,nepssrskw028,CONTAINS
acqsys000351,time,nepssrskw049,CONTAINS
acqsys000351,interface,nepssrskw059,CONTAINS
acqsys000351,manage,nepssrskw060,CONTAINS
acqsys000351,financial,nepssrskw062,CONTAINS
acqsys000351,standard,nepssrskw091,CONTAINS
acqsys000351,electronic,nepssrskw111,CONTAINS
acqsys000351,function,nepssrskw126,CONTAINS
acqsys000351,service,nepssrskw133,CONTAINS
acqsys000351,track,nepssrskw146,CONTAINS
acqsys000351,payment,nepssrskw163,CONTAINS
acqsys000351,automate,nepssrskw168,CONTAINS
acqsys000351,response,nepssrskw205,CONTAINS
acqsys000351,accounting,nepssrskw249,CONTAINS
acqsys000351,transfer,nepssrskw320,CONTAINS
acqsys000351,defense,nepssrskw345,CONTAINS
acqsys000358,user,nepssrskw001,CONTAINS
acqsys000358,form,nepssrskw002,CONTAINS
acqsys000358,contract,nepssrskw004,CONTAINS
acqsys000358,format,nepssrskw006,CONTAINS
acqsys000358,document,nepssrskw007,CONTAINS
acqsys000358,information,nepssrskw011,CONTAINS
acqsys000358,solicitation,nepssrskw022,CONTAINS
acqsys000358,require,nepssrskw023,CONTAINS
acqsys000358,based,nepssrskw032,CONTAINS
acqsys000358,allow,nepssrskw040,CONTAINS
acqsys000358,order,nepssrskw042,CONTAINS
acqsys000358,enter,nepssrskw053,CONTAINS
acqsys000358,manage,nepssrskw060,CONTAINS
acqsys000358,establish,nepssrskw065,CONTAINS
acqsys000358,support,nepssrskw085,CONTAINS
acqsys000358,request,nepssrskw088,CONTAINS
acqsys000358,calculate,nepssrskw120,CONTAINS
acqsys000358,service,nepssrskw133,CONTAINS
acqsys000358,condition,nepssrskw140,CONTAINS
acqsys000358,web,nepssrskw180,CONTAINS
acqsys000358,purpose,nepssrskw201,CONTAINS
acqsys000358,purchase,nepssrskw214,CONTAINS
acqsys000358,control,nepssrskw219,CONTAINS
acqsys000358,cost,nepssrskw245,CONTAINS
acqsys000358,accounting,nepssrskw249,CONTAINS
acqsys000358,commercial,nepssrskw291,CONTAINS
acqsys000358,government,nepssrskw295,CONTAINS
acqsys000358,operation,nepssrskw333,CONTAINS
acqsys000384,user,nepssrskw001,CONTAINS
acqsys000384,form,nepssrskw002,CONTAINS
acqsys000384,data,nepssrskw003,CONTAINS
acqsys000384,format,nepssrskw006,CONTAINS
acqsys000384,document,nepssrskw007,CONTAINS
acqsys000384,date,nepssrskw008,CONTAINS
acqsys000384,information,nepssrskw011,CONTAINS
acqsys000384,report,nepssrskw014,CONTAINS
acqsys000384,number,nepssrskw018,CONTAINS
acqsys000384,require,nepssrskw023,CONTAINS
acqsys000384,create,nepssrskw026,CONTAINS
acqsys000384,process,nepssrskw027,CONTAINS
acqsys000384,auto,nepssrskw028,CONTAINS
acqsys000384,based,nepssrskw032,CONTAINS
acqsys000384,change,nepssrskw033,CONTAINS
acqsys000384,assign,nepssrskw035,CONTAINS
acqsys000384,allow,nepssrskw040,CONTAINS
acqsys000384,automatic,nepssrskw046,CONTAINS
acqsys000384,time,nepssrskw049,CONTAINS
acqsys000384,perform,nepssrskw052,CONTAINS
acqsys000384,enter,nepssrskw053,CONTAINS
acqsys000384,status,nepssrskw056,CONTAINS
acqsys000384,manage,nepssrskw060,CONTAINS
acqsys000384,financial,nepssrskw062,CONTAINS
acqsys000384,establish,nepssrskw065,CONTAINS
acqsys000384,obligation,nepssrskw070,CONTAINS
acqsys000384,amount,nepssrskw080,CONTAINS
acqsys000384,support,nepssrskw085,CONTAINS
acqsys000384,design,nepssrskw086,CONTAINS
acqsys000384,multiple,nepssrskw098,CONTAINS
acqsys000384,electronic,nepssrskw111,CONTAINS
acqsys000384,calculate,nepssrskw120,CONTAINS
acqsys000384,current,nepssrskw129,CONTAINS
acqsys000384,acquisition,nepssrskw131,CONTAINS
acqsys000384,track,nepssrskw146,CONTAINS
acqsys000384,funding,nepssrskw149,CONTAINS
acqsys000384,plan,nepssrskw179,CONTAINS
acqsys000384,enterprise,nepssrskw191,CONTAINS
acqsys000384,single,nepssrskw194,CONTAINS
acqsys000384,populate,nepssrskw204,CONTAINS
acqsys000384,determine,nepssrskw215,CONTAINS
acqsys000384,available,nepssrskw241,CONTAINS
acqsys000384,cost,nepssrskw245,CONTAINS
acqsys000384,description,nepssrskw250,CONTAINS
acqsys000384,individual,nepssrskw252,CONTAINS
acqsys000384,addition,nepssrskw296,CONTAINS
acqsys000384,commitment,nepssrskw313,CONTAINS
acqsys000384,program,nepssrskw316,CONTAINS
acqsys000384,estimate,nepssrskw322,CONTAINS
acqsys000384,secure,nepssrskw351,CONTAINS
acqsys000384,statement,nepssrskw352,CONTAINS
acqsys000384,planning,nepssrskw403,CONTAINS
acqsys000384,forecast,nepssrskw411,CONTAINS
acqsys000392,user,nepssrskw001,CONTAINS
acqsys000392,form,nepssrskw002,CONTAINS
acqsys000392,data,nepssrskw003,CONTAINS
acqsys000392,format,nepssrskw006,CONTAINS
acqsys000392,document,nepssrskw007,CONTAINS
acqsys000392,information,nepssrskw011,CONTAINS
acqsys000392,action,nepssrskw012,CONTAINS
acqsys000392,report,nepssrskw014,CONTAINS
acqsys000392,require,nepssrskw023,CONTAINS
acqsys000392,process,nepssrskw027,CONTAINS
acqsys000392,auto,nepssrskw028,CONTAINS
acqsys000392,identify,nepssrskw044,CONTAINS
acqsys000392,transaction,nepssrskw051,CONTAINS
acqsys000392,perform,nepssrskw052,CONTAINS
acqsys000392,enter,nepssrskw053,CONTAINS
acqsys000392,interface,nepssrskw059,CONTAINS
acqsys000392,manage,nepssrskw060,CONTAINS
acqsys000392,financial,nepssrskw062,CONTAINS
acqsys000392,access,nepssrskw082,CONTAINS
acqsys000392,support,nepssrskw085,CONTAINS
acqsys000392,register,nepssrskw090,CONTAINS
acqsys000392,source,nepssrskw106,CONTAINS
acqsys000392,business,nepssrskw112,CONTAINS
acqsys000392,function,nepssrskw126,CONTAINS
acqsys000392,current,nepssrskw129,CONTAINS
acqsys000392,acquisition,nepssrskw131,CONTAINS
acqsys000392,service,nepssrskw133,CONTAINS
acqsys000392,funding,nepssrskw149,CONTAINS
acqsys000392,manual,nepssrskw152,CONTAINS
acqsys000392,collect,nepssrskw155,CONTAINS
acqsys000392,automate,nepssrskw168,CONTAINS
acqsys000392,evaluation,nepssrskw176,CONTAINS
acqsys000392,plan,nepssrskw179,CONTAINS
acqsys000392,web,nepssrskw180,CONTAINS
acqsys000392,application,nepssrskw192,CONTAINS
acqsys000392,unique,nepssrskw210,CONTAINS
acqsys000392,applicable,nepssrskw234,CONTAINS
acqsys000392,including,nepssrskw236,CONTAINS
acqsys000392,database,nepssrskw238,CONTAINS
acqsys000392,available,nepssrskw241,CONTAINS
acqsys000392,cost,nepssrskw245,CONTAINS
acqsys000392,accounting,nepssrskw249,CONTAINS
acqsys000392,individual,nepssrskw252,CONTAINS
acqsys000392,administration,nepssrskw258,CONTAINS
acqsys000392,structure,nepssrskw293,CONTAINS
acqsys000392,special,nepssrskw294,CONTAINS
acqsys000392,addition,nepssrskw296,CONTAINS
acqsys000392,internal,nepssrskw302,CONTAINS
acqsys000392,program,nepssrskw316,CONTAINS
acqsys000392,estimate,nepssrskw322,CONTAINS
acqsys000392,operation,nepssrskw333,CONTAINS
acqsys000392,environment,nepssrskw344,CONTAINS
acqsys000392,intelligence,nepssrskw386,CONTAINS
acqsys000392,planning,nepssrskw403,CONTAINS
acqsys000392,business intelligence,nepssrskw405,CONTAINS
acqsys000392,maintenance,nepssrskw428,CONTAINS
acqsys000392,logistic,nepssrskw448,CONTAINS
acqsys000392,assurance,nepssrskw457,CONTAINS
acqsys000392,military,nepssrskw461,CONTAINS
acqsys000392,communities,nepssrskw482,CONTAINS
acqsys000392,quality,nepssrskw485,CONTAINS
acqsys000402,form,nepssrskw002,CONTAINS
acqsys000402,contract,nepssrskw004,CONTAINS
acqsys000402,report,nepssrskw014,CONTAINS
acqsys000402,award,nepssrskw016,CONTAINS
acqsys000402,perform,nepssrskw052,CONTAINS
acqsys000402,collect,nepssrskw155,CONTAINS
acqsys000402,evaluation,nepssrskw176,CONTAINS
acqsys000402,construction,nepssrskw381,CONTAINS
acqsys000403,contract,nepssrskw004,CONTAINS
acqsys000403,report,nepssrskw014,CONTAINS
acqsys000403,define,nepssrskw021,CONTAINS
acqsys000403,require,nepssrskw023,CONTAINS
acqsys000403,process,nepssrskw027,CONTAINS
acqsys000403,status,nepssrskw056,CONTAINS
acqsys000403,manage,nepssrskw060,CONTAINS
acqsys000403,business,nepssrskw112,CONTAINS
acqsys000403,function,nepssrskw126,CONTAINS
acqsys000403,current,nepssrskw129,CONTAINS
acqsys000403,accept,nepssrskw169,CONTAINS
acqsys000403,cost,nepssrskw245,CONTAINS
acqsys000403,implement,nepssrskw340,CONTAINS
acqsys000403,logistic,nepssrskw448,CONTAINS
acqsys000405,form,nepssrskw002,CONTAINS
acqsys000405,data,nepssrskw003,CONTAINS
acqsys000405,format,nepssrskw006,CONTAINS
acqsys000405,information,nepssrskw011,CONTAINS
acqsys000405,require,nepssrskw023,CONTAINS
acqsys000405,process,nepssrskw027,CONTAINS
acqsys000405,auto,nepssrskw028,CONTAINS
acqsys000405,based,nepssrskw032,CONTAINS
acqsys000405,allow,nepssrskw040,CONTAINS
acqsys000405,time,nepssrskw049,CONTAINS
acqsys000405,search,nepssrskw115,CONTAINS
acqsys000405,service,nepssrskw133,CONTAINS
acqsys000405,automate,nepssrskw168,CONTAINS
acqsys000405,approval,nepssrskw174,CONTAINS
acqsys000405,web,nepssrskw180,CONTAINS
acqsys000405,application,nepssrskw192,CONTAINS
acqsys000405,purchase,nepssrskw214,CONTAINS
acqsys000405,cost,nepssrskw245,CONTAINS
acqsys000405,initial,nepssrskw363,CONTAINS
acqsys000405,critical,nepssrskw447,CONTAINS
acqsys000405,technology,nepssrskw459,CONTAINS
acqsys000407,contract,nepssrskw004,CONTAINS
acqsys000407,auto,nepssrskw028,CONTAINS
acqsys000407,assign,nepssrskw035,CONTAINS
acqsys000407,status,nepssrskw056,CONTAINS
acqsys000407,request,nepssrskw088,CONTAINS
acqsys000407,function,nepssrskw126,CONTAINS
acqsys000407,automate,nepssrskw168,CONTAINS
acqsys000407,administration,nepssrskw258,CONTAINS
acqsys000407,structure,nepssrskw293,CONTAINS
acqsys000409,data,nepssrskw003,CONTAINS
acqsys000409,contract,nepssrskw004,CONTAINS
acqsys000409,business,nepssrskw112,CONTAINS
acqsys000409,intelligence,nepssrskw386,CONTAINS
acqsys000409,business intelligence,nepssrskw405,CONTAINS
acqsys000410,form,nepssrskw002,CONTAINS
acqsys000410,contract,nepssrskw004,CONTAINS
acqsys000410,format,nepssrskw006,CONTAINS
acqsys000410,date,nepssrskw008,CONTAINS
acqsys000410,information,nepssrskw011,CONTAINS
acqsys000410,award,nepssrskw016,CONTAINS
acqsys000410,vendor,nepssrskw024,CONTAINS
