:START_ID,name,:END_ID,:TYPE
ccm000000001,CCM,post001,INCLUDED_IN
cdr000000001,CDR,post001,INCLUDED_IN
cedms0000001,CEDMS,paym001,INCLUDED_IN
close0000001,CLOSE,post001,INCLUDED_IN
cls000000001,CLS,awar001,INCLUDED_IN
conit0000001,CON-IT,awar001,INCLUDED_IN
csp000000001,CSP,post001,INCLUDED_IN
eda000000001,EDA,post001,INCLUDED_IN
fedmall00001,FEDMALL,awar001,INCLUDED_IN
gfp000000001,GFP,prop001,INCLUDED_IN
iod000000001,IOD,purc001,INCLUDED_IN
iuid00000001,IUID,prop001,INCLUDED_IN
jam000000001,JAM,oper001,INCLUDED_IN
mipr00000001,MIPR,requ001,INCLUDED_IN
myinv0000001,MYINV,paym001,INCLUDED_IN
nccs00000001,NCCS,secu001,INCLUDED_IN
ng3in1000001,3IN1NG,paym001,INCLUDED_IN
palt00000001,PALT,awar001,INCLUDED_IN
pbis00000001,PBIS,oper001,INCLUDED_IN
pcm000000001,PCM,oper001,INCLUDED_IN
pcom00000001,PCOM,purc001,INCLUDED_IN
piee_admin01,PIEE_ADMIN,othe001,INCLUDED_IN
ppml00000001,PPML,oper001,INCLUDED_IN
prot00000001,PROT,awar001,INCLUDED_IN
sam000000001,SAM,awar001,INCLUDED_IN
sdw000000001,SDW,post001,INCLUDED_IN
sol000000001,SOL,awar001,INCLUDED_IN
spm000000001,SPM,post001,INCLUDED_IN
sprs00000001,SPRS,awar001,INCLUDED_IN
usbank000001,GPC,purc001,INCLUDED_IN
wawf00000001,WAWF,paym001,INCLUDED_IN
