acqsysID:ID,name,component_name,title,description,:LABEL
acqsys005976,419,419,SD419 REQUEST FOR SERVICES,Workflow management tool for the coordination and approval of requests for Contract Advisory Assistance Sevices (CAAS) and coordination of AT&L requests for funds execution.,AcquisitionSystem
acqsys017666,1200,1200,1200 SYSTEM,"The 1200 systems is a reporting systems that contains case level data showing the status of all cases from Letter of Request (LOR) through case closure. It contains case line data in its Item Detail Table, which is updated monthly using interface data from DIFS. DSCA uses the systems to satisfy many reporting requirements, which include bylaw reports to congress, fulfilling FOI requests, numerous reports to other DOD components and other government agencies. The systems provides DSCA/DBO FPIO and CFM personnel with the ability to collect and coordinate FMS case level data submissions from the Military Departments and various Implementing Agencies. It provides the ability to perform various database update functions, produce weekly, monthly and quarterly reports and track FMS cases with congressional interest (36B) and query the databases on-line. The main systems is resident on a DSCA Windows server, is written in Microfocus COBOL, and uses a MS SQL Server Database. The menu systems and several small data entry applications are written in VB.NET. A user friendly systems was developed using Microsoft Access that allows DSCA personnel, who have access to the classified network, to do ad hoc reports. It enables end users to request their own reports on their desk top PC's",AcquisitionSystem
acqsys002529,10L,10L,TEN LINERS,Database of highlights,AcquisitionSystem
acqsys001699,2579DB,2579DB,2579 DATABASE,"Provides a means of tracking, analyzing and researching coordination records",AcquisitionSystem
acqsys006167,2S6,2S6,2S6 SIMULATION,"The 2S6 Simulator software component demonstrates the capability of correlating the actions of the human in the loop operator(s) with the representation of the vehicle that is presented to the synthetic environment. Similarly, it presents a representation of the synthetic environment to the operator(s) allowing them to perform the basic operations of the 2S6. The 2S6 Simulator is a low fidelity virtual simulation of the interior and interactive behavior of a Russian Tunguska armored vehicle, also known or referred to as the '2S6'. It is capable of participating in a real-time DIS exercise with other appropriate DIS compliant simulators. One to three human operators operate the simulated 2S6. There are three operator stations - commander, radar operator, and gunner. The radar operator station also doubles as the driver station, providing limited driving capabilities. The control panels that exist in the actual 2S6 are included in this 2S6 Simulator represented by software widgets res",AcquisitionSystem
acqsys008898,303 AESW IDE,303 AESW IDE,303 AESW INTEGRATED DIGITAL ENVIRONMENT,"The ability to electronically access, share, and process data in support of any program cradle to grave. An Integrated Digital Environment is one in which workers have instant access to information needed to work24/7--via the AF Portal. It gives everyone in the org to see real time data on such information as EPR/OPR/CPARs/TRAINING/AWARDS. The systems also houses other software systemss such as COP/SMART/ATK/SHAREPOINT ""Web-based decision support tool with a single access point. IDE is a toolset using COTS productivity tools to provide the acquisition, contracting, production, operations & financial community of the 303d with accurate, real-time data.",AcquisitionSystem
acqsys010672,327ASW IDE,327ASW IDE,327TH AIRCRAFT SUSTAINMENT WING INTEGRATED DATA ENVIRONMENT,Government owned organic technical order (TO) sustainment capability and digital data support services for 327ASW.,AcquisitionSystem
acqsys010037,419 FLTS TSO IFAST AVSIM PC,419 FLTS TSO IFAST AVSIM PC,419 FLTS TECHNICAL SERVICES OPERATIONS IFAST AVSIM PC,The purpose and /or function of this systems is to load software and interface with systems under test avionics mockup.,AcquisitionSystem
acqsys009634,46TG/746TS-MSRS1,46TG/746TS-MSRS1,46TG/746 TS MOBILE SATELLITE REFERENCE STATION #1,"The MSRS is a self-contained suite of military and civilian receivers and associated support and instrumentation equipment to collect GPS L-band data.The Mobile Satellite Reference systems (MSRS) is a collection of individual Global Positioning systems (GPS) receivers and their data collection government owned computers processing classified and unclassified data. The mission needs have been developed in the Test and Evaluation Master Plan for the Navstar GPS by the Space and Missile systemss Center. The three divisions at the NAVSTAR GPS Wing (GPSW) at Los Angeles AFB in El Segundo, CA, are primary organizations developing the mission needs: The systems Engineering Division representing the Control Segment of Space Command, the Space Division representing the Space Segment of Space Command, and the User Equipment Division representing the users of GPS equipment. The GPSW must complete the Test and Evaluation of new GPS satellites on the ground before they are launched and assess their performance during the early days of on orbit after the launch. Acting as part of the Space Segment systems Test Team, the 746th Test Squadron (746 TS) operates the MSRS in secure locations at Holloman AFB and at remote sites. The 746 TS team members are specially trained on the MSRS and are knowledgeable of GPS receiver operation with satellite data. This systems is in sustainment and registered in EITDR for C&A purposes only. Supporting funds are received from the 46 TG Customer for this project.",AcquisitionSystem
acqsys011955,4DOnlineBOM,4DOnlineBOM,4DONLINE BILL OF MATERIAL MANAGER,"4DOnline BOM Manager accepts assembly parts lists, known as Bills of Material (BOMs), and provides current manufacturing status of electronic and certain non-electronic parts. The BOMs to be loaded into this application come from Unites States Air Force Technical Orders. Manufacturing status includes identification of which parts have multiple manufacturing sources, a single manufacturing source, or no current manufacturing source. Status also includes the name and Contractor and Government Entity (CAGE) code for active and inactive part manufacturers. Manufacturer's part data sheets, specifications, and End of Life (EOL) notices are also available from this application. BOM Manager proactively monitors your BOMs for component status changes (PDNs, EOLs, PCNs, last time buy and delivery dates, GIDEP alerts, part reinstatements, and failure notices) and sends users daily alert emails for these critical part status changes. When an event occurs, BOM Manager provides the tools and content to assist the user in finding an appropriate resolution.",AcquisitionSystem
