START_ID,name,:END_ID,:TYPE
D7400,ABMC,acqsys060052,UTILIZES
D1200,AG,acqsys060042,UTILIZES
D1200,AG,acqsys060082,UTILIZES
D1200,AG,acqsys060083,UTILIZES
D9568,BBG,acqsys060044,UTILIZES
D955F,CFPB,acqsys060028,UTILIZES
D9507,CFTC,acqsys060023,UTILIZES
D9577,CNCS,acqsys060045,UTILIZES
D6100,CPSC,acqsys060068,UTILIZES
D9565,CSHIB,acqsys060029,UTILIZES
D9594,CSOSA,acqsys060053,UTILIZES
D9534,DCC,acqsys060055,UTILIZES
D7000,DHS,acqsys060020,UTILIZES
D7000,DHS,acqsys060027,UTILIZES
D7000,DHS,acqsys060054,UTILIZES
D7000,DHS,acqsys060065,UTILIZES
D7000,DHS,acqsys060069,UTILIZES
A2100,DOA,acqsys000430,UTILIZES
A2100,DOA,acqsys000595,UTILIZES
A2100,DOA,acqsys000596,UTILIZES
A2100,DOA,acqsys000610,UTILIZES
A2100,DOA,acqsys000617,UTILIZES
A2100,DOA,acqsys001201,UTILIZES
A2100,DOA,acqsys001202,UTILIZES
A2100,DOA,acqsys001210,UTILIZES
A2100,DOA,acqsys001212,UTILIZES
A2100,DOA,acqsys001213,UTILIZES
A2100,DOA,acqsys001219,UTILIZES
A2100,DOA,acqsys001257,UTILIZES
A2100,DOA,acqsys001268,UTILIZES
A2100,DOA,acqsys001270,UTILIZES
A2100,DOA,acqsys001271,UTILIZES
A2100,DOA,acqsys001278,UTILIZES
A2100,DOA,acqsys001294,UTILIZES
A2100,DOA,acqsys001383,UTILIZES
A2100,DOA,acqsys001384,UTILIZES
A2100,DOA,acqsys001385,UTILIZES
A2100,DOA,acqsys001386,UTILIZES
A2100,DOA,acqsys001622,UTILIZES
A2100,DOA,acqsys002529,UTILIZES
A2100,DOA,acqsys002543,UTILIZES
A2100,DOA,acqsys002545,UTILIZES
A2100,DOA,acqsys002554,UTILIZES
A2100,DOA,acqsys002555,UTILIZES
A2100,DOA,acqsys002562,UTILIZES
A2100,DOA,acqsys002565,UTILIZES
A2100,DOA,acqsys002566,UTILIZES
A2100,DOA,acqsys002570,UTILIZES
A2100,DOA,acqsys002615,UTILIZES
A2100,DOA,acqsys002620,UTILIZES
A2100,DOA,acqsys002646,UTILIZES
A2100,DOA,acqsys002647,UTILIZES
A2100,DOA,acqsys002648,UTILIZES
A2100,DOA,acqsys002649,UTILIZES
A2100,DOA,acqsys002651,UTILIZES
A2100,DOA,acqsys002654,UTILIZES
A2100,DOA,acqsys002670,UTILIZES
A2100,DOA,acqsys002679,UTILIZES
A2100,DOA,acqsys002686,UTILIZES
A2100,DOA,acqsys002699,UTILIZES
A2100,DOA,acqsys002700,UTILIZES
A2100,DOA,acqsys002731,UTILIZES
A2100,DOA,acqsys002745,UTILIZES
A2100,DOA,acqsys002762,UTILIZES
A2100,DOA,acqsys002770,UTILIZES
A2100,DOA,acqsys002780,UTILIZES
A2100,DOA,acqsys002806,UTILIZES
A2100,DOA,acqsys002808,UTILIZES
A2100,DOA,acqsys002818,UTILIZES
A2100,DOA,acqsys002860,UTILIZES
