itfrID:ID,name,description,:LABEL
itfr100101,1001.1,The system shall send PI information to DPAP_s Clause Logic Service _CLS_.,Requirement
itfr10010201,1001.2.1,The system shall send the PI information in the format as required by the CLS ICD.  ,Requirement
itfr10010301,1001.3.1,The system shall allow the user to request additional clauses from the CLS.,Requirement
itfr10010401,1001.4.1,"The system shall allow the user to retrieve mandatory and optional clauses from the CLS.
 
",Requirement
itfr10010501,1001.5.1,The system shall request mandatory and optional clauses from the CLS based on system events.,Requirement
itfr10010502,1001.5.2,The system shall retrieve mandatory and optional clauses from the CLS based on system events.,Requirement
itfr10010601,1001.6.1,The system shall automatically assemble clauses received from the CLS IAW FAR Part 8.,Requirement
itfr10010602,1001.6.2,The system shall automatically assemble clauses received from the CLS IAW FAR Part 12.,Requirement
itfr10010603,1001.6.3,The system shall automatically assemble clauses received from the CLS IAW FAR Part 13.,Requirement
itfr10010604,1001.6.4,The system shall automatically assemble clauses received from the CLS IAW FAR Part 14.,Requirement
itfr10010605,1001.6.5,The system shall automatically assemble clauses received from the CLS IAW FAR Part 15.,Requirement
itfr10010701,1001.7.1,The system shall associate clauses with PIs IAW FAR 8.                  ,Requirement
itfr10010702,1001.7.2,The system shall associate clauses with PIs IAW FAR 12. ,Requirement
itfr10010703,1001.7.3,The system shall associate clauses with PIs IAW FAR 13. ,Requirement
itfr10010704,1001.7.4,The system shall associate clauses with PIs IAW FAR 14. ,Requirement
itfr10010705,1001.7.5,The system shall associate clauses with PIs IAW FAR 15. ,Requirement
itfr10010706,1001.7.6,"The system shall associate clauses with PI IAW FAR 52, as supplemented.",Requirement
itfr1002,1002,The system shall create a PDS compliant PI.,Requirement
itfr10030101,1003.1.1,"The system shall send PI data in PDS format to the Defense Logistics Agency Transaction Services, Global Exchange _DLATS_GEX_ system. ",Requirement
itfr10030201,1003.2.1,The system shall create a PI in human-readable PDF format.,Requirement
itfr10030202,1003.2.2,"The system shall send PI documents in PDF format to the Defense Logistics Agency Transaction Services, Global Exchange _DLATS_GEX_ system.",Requirement
itfr100601,1006.1,The system shall retrieve all Mandated Clauses from the DPAP Clause Logic Service _CLS_.,Requirement
itfr100602,1006.2,The system shall analyze the draft PI to determine if clauses are required.,Requirement
itfr10060301,1006.3.1,The system shall receive clauses from CLS.,Requirement
itfr10060302,1006.3.2,The system shall display clause from CLS.,Requirement
itfr10060303,1006.3.3,The system shall display clauses with required fill-ins from CLS.,Requirement
itfr10060304,1006.3.4,The system shall display clauses from CLS that can be tailored.,Requirement
itfr10060401,1006.4.1 ,The system shall allow authorized users to omit non-mandatory clauses suggested by CLS.,Requirement
itfr10060501,1006.5.1,The system shall allow the user to initiate a request for non-suggested clause_s_ from CLS.,Requirement
itfr10060502,1006.5.2,The system shall allow the user to add the non-suggested clause_s_ to the PI.,Requirement
itfr100606,1006.6,The system shall prevent users from adding clauses that do not come from CLS. ,Requirement
itfr100607,1006.7,The system shall require users to provide documented justification when a non-mandatory clause _without tailorable fields_ is modified.,Requirement
itfr100608,1006.8,The system shall allow the user to check CLS for clause updates to PIs. ,Requirement
itfr10090101,1009.1.1,The system shall perform real-time data validation on manual inputs.,Requirement
