:START_ID,name,:END_ID,:TYPE
itfr100101,1001.1,itfrcat022,INCLUDED_IN
itfr10010201,1001.2.1,itfrcat022,INCLUDED_IN
itfr10010301,1001.3.1,itfrcat022,INCLUDED_IN
itfr10010401,1001.4.1,itfrcat022,INCLUDED_IN
itfr10010501,1001.5.1,itfrcat022,INCLUDED_IN
itfr10010502,1001.5.2,itfrcat022,INCLUDED_IN
itfr10010601,1001.6.1,itfrcat022,INCLUDED_IN
itfr10010602,1001.6.2,itfrcat022,INCLUDED_IN
itfr10010603,1001.6.3,itfrcat022,INCLUDED_IN
itfr10010604,1001.6.4,itfrcat022,INCLUDED_IN
itfr10010605,1001.6.5,itfrcat022,INCLUDED_IN
itfr10010701,1001.7.1,itfrcat022,INCLUDED_IN
itfr10010702,1001.7.2,itfrcat022,INCLUDED_IN
itfr10010703,1001.7.3,itfrcat022,INCLUDED_IN
itfr10010704,1001.7.4,itfrcat022,INCLUDED_IN
itfr10010705,1001.7.5,itfrcat022,INCLUDED_IN
itfr10010706,1001.7.6,itfrcat022,INCLUDED_IN
itfr1002,1002,itfrcat011,INCLUDED_IN
itfr10030101,1003.1.1,itfrcat020,INCLUDED_IN
itfr10030201,1003.2.1,itfrcat020,INCLUDED_IN
itfr10030202,1003.2.2,itfrcat020,INCLUDED_IN
itfr100601,1006.1,itfrcat006,INCLUDED_IN
itfr100602,1006.2,itfrcat006,INCLUDED_IN
itfr10060301,1006.3.1,itfrcat006,INCLUDED_IN
itfr10060302,1006.3.2,itfrcat006,INCLUDED_IN
itfr10060303,1006.3.3,itfrcat006,INCLUDED_IN
itfr10060304,1006.3.4,itfrcat006,INCLUDED_IN
itfr10060401,1006.4.1,itfrcat006,INCLUDED_IN
itfr10060501,1006.5.1,itfrcat006,INCLUDED_IN
itfr10060502,1006.5.2,itfrcat006,INCLUDED_IN
itfr100606,1006.6,itfrcat006,INCLUDED_IN
itfr100607,1006.7,itfrcat006,INCLUDED_IN
itfr100608,1006.8,itfrcat006,INCLUDED_IN
itfr10090101,1009.1.1,itfrcat038,INCLUDED_IN
itfr10090102,1009.1.2,itfrcat038,INCLUDED_IN
itfr10090103,1009.1.3,itfrcat038,INCLUDED_IN
itfr100902,1009.2,itfrcat038,INCLUDED_IN
itfr10090301,1009.3.1,itfrcat038,INCLUDED_IN
itfr10090302,1009.3.2,itfrcat038,INCLUDED_IN
itfr10090401,1009.4.1,itfrcat038,INCLUDED_IN
itfr10090402,1009.4.2,itfrcat038,INCLUDED_IN
itfr10090501,1009.5.1,itfrcat038,INCLUDED_IN
itfr10090502,1009.5.2,itfrcat038,INCLUDED_IN
itfr101101,1011.1,itfrcat047,INCLUDED_IN
itfr10110201,1011.2.1,itfrcat047,INCLUDED_IN
itfr10130101,1013.1.1,itfrcat037,INCLUDED_IN
itfr10130201,1013.2.1,itfrcat037,INCLUDED_IN
itfr10130301,1013.3.1,itfrcat037,INCLUDED_IN
itfr10140101,1014.1.1,itfrcat046,INCLUDED_IN
itfr10140201,1014.2.1,itfrcat046,INCLUDED_IN
itfr10140202,1014.2.2,itfrcat046,INCLUDED_IN
itfr10140203,1014.2.3,itfrcat046,INCLUDED_IN
itfr10140301,1014.3.1,itfrcat046,INCLUDED_IN
itfr10140401,1014.4.1,itfrcat046,INCLUDED_IN
itfr10150101,1015.1.1,itfrcat007,INCLUDED_IN
itfr10150201,1015.2.1,itfrcat007,INCLUDED_IN
itfr101601,1016.1,itfrcat026,INCLUDED_IN
itfr101602,1016.2,itfrcat026,INCLUDED_IN
itfr10170101,1017.1.1,itfrcat014,INCLUDED_IN
itfr101702,1017.2,itfrcat014,INCLUDED_IN
itfr10170301,1017.3.1,itfrcat014,INCLUDED_IN
itfr10170401,1017.4.1,itfrcat014,INCLUDED_IN
itfr10170501,1017.5.1,itfrcat014,INCLUDED_IN
itfr101801,1018.1,itfrcat049,INCLUDED_IN
itfr10180201,1018.2.1,itfrcat049,INCLUDED_IN
itfr10180202,1018.2.2,itfrcat049,INCLUDED_IN
itfr10180301,1018.3.1,itfrcat049,INCLUDED_IN
itfr10180302,1018.3.2,itfrcat049,INCLUDED_IN
itfr10200201,1020.2.1,itfrcat036,INCLUDED_IN
itfr10200301,1020.3.1,itfrcat036,INCLUDED_IN
