domainID:ID,name,question,:LABEL
anhedonia01,Anhedonia Q1,I do not get as much pleasure out of things as others seem to,DomainQuestion
anhedonia02,Anhedonia Q2,Nothing seems to interest me very much,DomainQuestion
anhedonia03,Anhedonia Q3,I almost never enjoy life,DomainQuestion
anhedonia04,Anhedonia Q4,I am an energetic person,DomainQuestion
anhedonia05,Anhedonia Q5,I almost never feel happy about my day-to-day activities,DomainQuestion
anhedonia06,Anhedonia Q6,I really live life to the fullest,DomainQuestion
anhedonia07,Anhedonia Q7,Nothing seems to make me feel good,DomainQuestion
anhedonia08,Anhedonia Q8,I rarely get enthusiastic about anything,DomainQuestion
anxiousne01,Anxiousness Q1,I worry a lot about terrible things that might happen,DomainQuestion
anxiousne02,Anxiousness Q2,I often worry that something bad will happen due to mistakes i made in the past,DomainQuestion
anxiousne03,Anxiousness Q3,I get very nervous when i think about the future,DomainQuestion
anxiousne04,Anxiousness Q4,I rarely worry about things,DomainQuestion
anxiousne05,Anxiousness Q5,I am always worrying about something,DomainQuestion
anxiousne06,Anxiousness Q6,I worry about almost everything,DomainQuestion
anxiousne07,Anxiousness Q7,I am a very anxious person,DomainQuestion
anxiousne08,Anxiousness Q8,I always expect the worst to happen,DomainQuestion
anxiousne09,Anxiousness Q9,I am always fearful or on edge about bad things that might happen,DomainQuestion
attention01,Attention Seeking Q1,I do things to make sure people notice me,DomainQuestion
attention02,Attention Seeking Q2,I do things so that people just have to admire me,DomainQuestion
attention03,Attention Seeking Q3,I love getting the attention of other people,DomainQuestion
attention04,Attention Seeking Q4,I like standing out in a crowd,DomainQuestion
attention05,Attention Seeking Q5,My behavior is often bold and grabs people’s attention,DomainQuestion
attention06,Attention Seeking Q6,I like being a person who gets noticed,DomainQuestion
attention07,Attention Seeking Q7,I crave attention,DomainQuestion
attention08,Attention Seeking Q8,I like to draw attention to myself,DomainQuestion
callousne01,Callousness Q1,I often get into physical fights,DomainQuestion
callousne02,Callousness Q2,Being rude and unfriendly is just a part of who i am,DomainQuestion
callousne03,Callousness Q3,I really do not care if i make other people suffer,DomainQuestion
callousne04,Callousness Q4,It does not really bother me to see other people get hurt,DomainQuestion
callousne05,Callousness Q5,I do not care about other people’s feelings,DomainQuestion
callousne06,Callousness Q6,You need to step on some toes to get what you want in life,DomainQuestion
callousne07,Callousness Q7,I would never harm another person,DomainQuestion
callousne08,Callousness Q8,I do not care if my actions hurt others,DomainQuestion
callousne09,Callousness Q9,It is no big deal if i hurt other people’s feelings,DomainQuestion
