:START_ID,name,:END_ID,:TYPE
separa0001,Separation Insecurity,abandon4,CONTAINS
unusua0001,Unusual Beliefs & Experiences,ability4,CONTAINS
rigid0001,Rigid Perfectionism,absolute4,CONTAINS
rigid0001,Rigid Perfectionism,acceptable4,CONTAINS
distra0001,Distractibility,achieve4,CONTAINS
grandi0001,Grandiosity,achieve4,CONTAINS
restri0001,Restricted Affectivity,action4,CONTAINS
emotio0001,Emotional Lability,action4,CONTAINS
callou0001,Callousness,action4,CONTAINS
distra0001,Distractibility,action4,CONTAINS
riskt0001,Risk Taking,activities4,CONTAINS
anhedo0001,Anhedonia,activities4,CONTAINS
persev0001,Perseveration,activity4,CONTAINS
withdr0001,Withdrawal,activity4,CONTAINS
attent0001,Attention Seeking,admire4,CONTAINS
suspic0001,Suspiciousness,advantage4,CONTAINS
deceit0001,Deceitfulness,advantage4,CONTAINS
manipu0001,Manipulativeness,advantage4,CONTAINS
distra0001,Distractibility,ahead4,CONTAINS
deceit0001,Deceitfulness,ahead4,CONTAINS
separa0001,Separation Insecurity,alone4,CONTAINS
intima0001,Intimacy Avoidance,alone4,CONTAINS
hostil0001,Hostility,anger4,CONTAINS
hostil0001,Hostility,angry4,CONTAINS
anxiou0001,Anxiousness,anxious4,CONTAINS
distra0001,Distractibility,anything4,CONTAINS
riskt0001,Risk Taking,anything4,CONTAINS
separa0001,Separation Insecurity,anything4,CONTAINS
anhedo0001,Anhedonia,anything4,CONTAINS
irresp0001,Irresponsibility,appointment4,CONTAINS
persev0001,Perseveration,approach4,CONTAINS
rigid0001,Rigid Perfectionism,arrange4,CONTAINS
depres0001,Depressivity,ashamed4,CONTAINS
percep0001,Perceptual Dysregulation,asleep4,CONTAINS
distra0001,Distractibility,attention4,CONTAINS
attent0001,Attention Seeking,attention4,CONTAINS
riskt0001,Risk Taking,avoid4,CONTAINS
withdr0001,Withdrawal,avoid4,CONTAINS
irresp0001,Irresponsibility,avoid4,CONTAINS
separa0001,Separation Insecurity,bad4,CONTAINS
anxiou0001,Anxiousness,bad4,CONTAINS
suspic0001,Suspiciousness,basically4,CONTAINS
