:START_ID,name,:END_ID,:TYPE
anhedonia01,Anhedonia Q1,anhedo0001,INDICATES
anhedonia02,Anhedonia Q2,anhedo0001,INDICATES
anhedonia03,Anhedonia Q3,anhedo0001,INDICATES
anhedonia04,Anhedonia Q4,anhedo0001,INDICATES
anhedonia05,Anhedonia Q5,anhedo0001,INDICATES
anhedonia06,Anhedonia Q6,anhedo0001,INDICATES
anhedonia07,Anhedonia Q7,anhedo0001,INDICATES
anhedonia08,Anhedonia Q8,anhedo0001,INDICATES
anxiousne01,Anxiousness Q1,anxiou0001,INDICATES
anxiousne02,Anxiousness Q2,anxiou0001,INDICATES
anxiousne03,Anxiousness Q3,anxiou0001,INDICATES
anxiousne04,Anxiousness Q4,anxiou0001,INDICATES
anxiousne05,Anxiousness Q5,anxiou0001,INDICATES
anxiousne06,Anxiousness Q6,anxiou0001,INDICATES
anxiousne07,Anxiousness Q7,anxiou0001,INDICATES
anxiousne08,Anxiousness Q8,anxiou0001,INDICATES
anxiousne09,Anxiousness Q9,anxiou0001,INDICATES
attention01,Attention Seeking Q1,attent0001,INDICATES
attention02,Attention Seeking Q2,attent0001,INDICATES
attention03,Attention Seeking Q3,attent0001,INDICATES
attention04,Attention Seeking Q4,attent0001,INDICATES
attention05,Attention Seeking Q5,attent0001,INDICATES
attention06,Attention Seeking Q6,attent0001,INDICATES
attention07,Attention Seeking Q7,attent0001,INDICATES
attention08,Attention Seeking Q8,attent0001,INDICATES
callousne01,Callousness Q1,callou0001,INDICATES
callousne02,Callousness Q2,callou0001,INDICATES
callousne03,Callousness Q3,callou0001,INDICATES
callousne04,Callousness Q4,callou0001,INDICATES
callousne05,Callousness Q5,callou0001,INDICATES
callousne06,Callousness Q6,callou0001,INDICATES
callousne07,Callousness Q7,callou0001,INDICATES
callousne08,Callousness Q8,callou0001,INDICATES
callousne09,Callousness Q9,callou0001,INDICATES
callousne10,Callousness Q10,callou0001,INDICATES
callousne11,Callousness Q11,callou0001,INDICATES
callousne12,Callousness Q12,callou0001,INDICATES
callousne13,Callousness Q13,callou0001,INDICATES
callousne14,Callousness Q14,callou0001,INDICATES
deceitful01,Deceitfulness Q1,deceit0001,INDICATES
deceitful02,Deceitfulness Q2,deceit0001,INDICATES
deceitful03,Deceitfulness Q3,deceit0001,INDICATES
deceitful04,Deceitfulness Q4,deceit0001,INDICATES
deceitful05,Deceitfulness Q5,deceit0001,INDICATES
deceitful06,Deceitfulness Q6,deceit0001,INDICATES
