agencyID:ID,name,title,:LABEL
A0011,USSSAA,US Senate Sergeant At Arms,ContractingAgency
A0099,JHSE,Joint Hous E Senate Entities,ContractingAgency
A0300,LOC,Library of Congress,ContractingAgency
A0559,GAO,GAO Except Comptroller General,ContractingAgency
A1027,AOOUSC,Administrative Office of US Courts,ContractingAgency
A1100,EOP,Executive Office of the President,ContractingAgency
A1143,IAF,Inter-American Foundation,ContractingAgency
A1145,PC,Peace Corps,ContractingAgency
A1153,USTDA,USTrade Development Agency,ContractingAgency
A1204,OIG,Office of Inspector General,ContractingAgency
A1205,USDADA,USDA Departmental Administration,ContractingAgency
A12A1,USDAOOCFO,USDA Office of Chief Financial Officer,ContractingAgency
A12B3,USDAOOPPM,USDA Office of Procurement Property Management,ContractingAgency
A12C2,FS,Forest Service,ContractingAgency
A12C3,NRCS,Natural Resources Conservation Service,ContractingAgency
A12D0,FPCBC,Farm Production Conservation Bus Iness Center,ContractingAgency
A12D2,FSA,Farm Service Agency,ContractingAgency
A12E3,RHS,Rural Hous Ing Service,ContractingAgency
A12F2,FNS,Food Nutrition Service,ContractingAgency
A12G2,FSIS,Food Safety Inspection Service,ContractingAgency
A12H2,ARS,Agricultural Research Service,ContractingAgency
A12H5,NASS,National Agricultural Statistics Service,ContractingAgency
A12K2,AMS,Agricultural Marketing Service,ContractingAgency
A12K3,APHIS,Animal Plant Health Inspection Service,ContractingAgency
A12K4,GIPSA,Grain Inspection Packers Stockyards Administration,ContractingAgency
A1300,DOC,Department of Commerce,ContractingAgency
A1301,OS,Office of Secretary,ContractingAgency
A1304,OIG,Office of Inspector General,ContractingAgency
A1316,BISTS,Bureau of Industry Security,ContractingAgency
A1321,BEA,Bureau of Economic Analysis,ContractingAgency
A1323,USCSB,USCensus Bureau,ContractingAgency
A1325,EDA,Economic Development Administration,ContractingAgency
A1330,NOAA,National Oceanic Atmospheric Administration,ContractingAgency
A1335,NTIA,National Telecommunications Information Administration,ContractingAgency
A1341,NIOST,National Institute of Standards Technology,ContractingAgency
A1342,NTIS,National Technical Information Service,ContractingAgency
A1344,USPTO,USPatent Trademark Office,ContractingAgency
A1350,ITA,International Trade Administration,ContractingAgency
A1352,MBDA,Minority Bus Iness Development Agency,ContractingAgency
A1404,OIG,Office of Inspector General,ContractingAgency
A1406,DO,Departmental Offices,ContractingAgency
A1422,BLM,Bureau of Land Management,ContractingAgency
A1425,BR,Bureau of Reclamation,ContractingAgency
A1434,USGS,USGeological Survey,ContractingAgency
A1435,BOEM,Bureau of Ocean Energy Management,ContractingAgency
A1436,BSEE,Bureau of Safety Environmental Enforcement,ContractingAgency
A1438,OSMRE,Office of Surface Mining Reclamation Enforcement,ContractingAgency
A1443,NPS,National Park Service,ContractingAgency
A1448,USFWS,USFish Wildlife Service,ContractingAgency
A1450,BIA,Bureau of Indian Affairs,ContractingAgency
A1500,DOJ,Department of Justice,ContractingAgency
A1501,OBD,Offices Boards Divisions,ContractingAgency
A1504,OIG,Office of Inspector General,ContractingAgency
A1524,DEA,Drug Enforcement Administration,ContractingAgency
A1540,FPSBOP,Federal Prison System / Bureau of Prisons,ContractingAgency
A1542,FPIU,Federal Prison Indus Tries / Unicor,ContractingAgency
A1544,USMS,USMarshals Service,ContractingAgency
A1549,FBOI,Federal Bureau of Investigation,ContractingAgency
A1550,OJP,Office of Jus Tice Programs,ContractingAgency
A1560,ATFAPMD,ATF Acquisition Property Mgmt Div,ContractingAgency
A1604,OIG,Office of Inspector General,ContractingAgency
A1605,OASAM,Office of Assistant Secretary Administration Management,ContractingAgency
A1625,BLS,Bureau of Labor Statistics,ContractingAgency
A1630,ETA,Employment Training Administration,ContractingAgency
A1631,OJC,Office of Job Corps,ContractingAgency
A1645,MSHA,Mine Safety Health Administration,ContractingAgency
A1650,OSHA,Occupational Safety Health Administration,ContractingAgency
A1665,PBGC,Pension Benefit Guaranty Corporation,ContractingAgency
A1700,DON,Dept of Navy,ContractingAgency
A1800,USPS,Postal Service,ContractingAgency
A1900,DOS,Department of State,ContractingAgency
A19BC,IBCU,International Boundary Commission: US Canada,ContractingAgency
A19BM,IBWCU,International Boundary Water Commission: US -Mexico,ContractingAgency
A2001,DO,Departmental Offices,ContractingAgency
A2004,IG,Inspector General,ContractingAgency
A2014,OIGTA,Office of Inspector General Tax Administration,ContractingAgency
A2036,BFS,Bureau of Fiscal Service,ContractingAgency
A2041,BEP,Bureau of Engraving Printing,ContractingAgency
A2044,USM,USMint,ContractingAgency
A2046,OCC,Office of Comptroller of Currency,ContractingAgency
A2047,OTS,Office of Thrift Supervision,ContractingAgency
A2050,IRS,Internal Revenue Service,ContractingAgency
A2083,SIGTARP,Special Inspector General Troubled Asset Relief Program,ContractingAgency
A2091,OIG,Office of Inspector General,ContractingAgency
A2100,DOA,Dept of Army,ContractingAgency
A2300,USTC,USTax Court,ContractingAgency
A2400,OPM,Office of Personnel Management,ContractingAgency
A2500,NCUA,National Credit Union Administration,ContractingAgency
A2700,FCC,Federal Communications Commission,ContractingAgency
A2800,SSA,Social Security Administration,ContractingAgency
A2900,FTC,Federal Trade Commission,ContractingAgency
A3100,NRC,Nuclear Regulatory Commission,ContractingAgency
A3300,SI,Smithsonian Institution,ContractingAgency
A3352,JFKCPA,J F Kennedy Center Performing Arts,ContractingAgency
A3355,NGOA,National Gallery of Art,ContractingAgency
