departmentID:ID,name,title,:LABEL
D0000,LB,Legislative Branch,ContractingDepartment
D0010,SEN,Senate,ContractingDepartment
D0300,LOC,Library of Congress,ContractingDepartment
D0500,GAO,Government Accountability Office,ContractingDepartment
D1027,AOUSC,Administrative of Office US Courts,ContractingDepartment
D1100,EOP,Executive Office of President,ContractingDepartment
D1145,PC,Peace Corps,ContractingDepartment
D1153,USTDA,US Trade and Development Agency,ContractingDepartment
D1200,AG,Department of Agriculture,ContractingDepartment
D1300,DOC,Department of Commerce,ContractingDepartment
D1400,DOI,Department of the Interior,ContractingDepartment
D1500,DOJ,Department of Justice,ContractingDepartment
D1600,DOL,Department of Labor,ContractingDepartment
D1665,PBGC,Pension Benefit Guaranty Corporation,ContractingDepartment
D1800,USPS,Postal Service,ContractingDepartment
D1900,DOS,Department of State,ContractingDepartment
D19BM,IBWCUSM,International Boundary and Water Commission: US -Mexico,ContractingDepartment
D2000,TREAS,Department of the Treasury,ContractingDepartment
D2090,LSC,Legal Services Corporation,ContractingDepartment
D2300,USTC,US Tax Court,ContractingDepartment
D2400,OPM,Office of Personnel Management,ContractingDepartment
D2500,NCUA,National Credit Union Administration,ContractingDepartment
D2700,FCC,Federal Communications Commission,ContractingDepartment
D2800,SSA,Social Security Administration,ContractingDepartment
D2900,FTC,Federal Trade Commission,ContractingDepartment
D3100,NRC,Nuclear Regulatory Commission,ContractingDepartment
D3300,SI,Smithsonian Institution,ContractingDepartment
D3352,JKCPA,JF Kennedy Center for Performing Arts,ContractingDepartment
D3355,NGA,National Gallery of Art,ContractingDepartment
D3400,ITC,International Trade Commission,ContractingDepartment
D3600,VA,Department of Veterans Affairs,ContractingDepartment
D4100,MSPB,Merit Systems Protection Board,ContractingDepartment
D4340,NEH,National Endowment for Humanities,ContractingDepartment
D4500,EEOC,Equal Employment Opportunity Commission,ContractingDepartment
D4602,ARC,Appalachian Regional Commission,ContractingDepartment
D4700,GSA,General Services Administration,ContractingDepartment
D4856,NWTRB,Nuclear Waste Technical Review Board,ContractingDepartment
D4900,NSF,National Science Foundation,ContractingDepartment
D5000,SEC,Securities and Exchange Commission,ContractingDepartment
D5300,IMLS,Institute of Museum and Library Services,ContractingDepartment
D5400,FLRA,Federal Labor Relations Authority,ContractingDepartment
D5920,NEA,National Endowment for Arts,ContractingDepartment
D6000,RRB,Railroad Retirement Board,ContractingDepartment
D6100,CPSC,Consumer Product Safety Commission,ContractingDepartment
D6201,OSC,Office of Special Counsel,ContractingDepartment
D6300,NLRB,National Labor Relations Board,ContractingDepartment
D6500,FMC,Federal Maritime Commission,ContractingDepartment
D6800,EPA,Environmental Protection Agency,ContractingDepartment
D6900,DOT,Department of Transportation,ContractingDepartment
D7000,DHS,Department of Homeland Security,ContractingDepartment
D7100,OPIC,Overseas Private Investment Corporation,ContractingDepartment
D7200,USAID,Agency for International Development,ContractingDepartment
D7300,SBA,Small Business Administration,ContractingDepartment
D7400,ABMC,American Battle Monuments Commission,ContractingDepartment
