projectID:ID,name,PIID,NAICSCode,NAICSDescription,ProductorServiceCode,ProductorServiceDescription,PrincipalPlaceofPerformanceCityName,PrincipalPlaceofPerformanceStateCode,PlaceofPerformanceZipCode,Sum of DollarsObligated,:LABEL
pgs07f5802pn6874221f00010,NAVY REGION NORTHWEST OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,N6874221F0001,315999,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,ABERDEEN,NC,283157742,20470.17,Contract
pn0017321p00730,NAVAL RESEARCH LABORATORY TESTING LABORATORIES,N0017321P0073,541380,TESTING LABORATORIES,J059,MAINT/REPAIR/REBUILD OF EQUIPMENT- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,ABERDEEN,MD,210010004,51750,Contract
pn0016421pw0090,NAVAL AIR SYSTEMS COMMAND AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,N0016421PW009,333415,AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,H349,INSPECTION- MAINTENANCE AND REPAIR SHOP EQUIPMENT,ACTON,MA,17203948,5445,Contract
pn0010421pbd050,NAVSUP WEAPON SYSTEMS SUPPORT MECH CURRENT-CARRYING WIRING DEVICE MANUFACTURING,N0010421PBD05,335931,CURRENT-CARRYING WIRING DEVICE MANUFACTURING,6130,"CONVERTERS, ELECTRICAL, NONROTATING",ADDISON,TX,750014311,2000,Contract
pn0038321p002d0,NAVSUP WSS PHIL TUCSON DET OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,N0038321P002D,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,26781,Contract
pn0038321p003d0,NAVSUP WSS PHIL TUCSON DET OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,N0038321P003D,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,35708,Contract
pn0038321p005d0,NAVSUP WSS PHIL TUCSON DET OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,N0038321P005D,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1620,AIRCRAFT LANDING GEAR COMPONENTS,ADDISON,IL,601013750,27444,Contract
pn0038321pd0070,NAVSUP WEAPON SYSTEMS SUPPORT OPTICAL INSTRUMENT AND LENS MANUFACTURING,N0038321PD007,333314,OPTICAL INSTRUMENT AND LENS MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,53320,Contract
pn0038321pd0080,NAVSUP WEAPON SYSTEMS SUPPORT ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,N0038321PD008,333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,160490,Contract
pn0038321pd0090,NAVSUP WEAPON SYSTEMS SUPPORT ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,N0038321PD009,333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,9638,Contract
pn0038321pd0100,NAVSUP WEAPON SYSTEMS SUPPORT OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,N0038321PD010,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,9638,Contract
psprpa121px0170,NAVSUP WEAPON SYSTEMS SUPPORT OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,SPRPA121PX017,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,ADDISON,IL,601013750,241668,Contract
pn0018920dz907n0018921fz0510,"NAVAL COMMUNITY COLLEGE COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",N0018921FZ051,611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",U009,EDUCATION/TRAINING- GENERAL,ADELPHI,MD,207837998,68250,Contract
pn6817121d0028n6883621f00910,COMNAVSURPAC PORT AND HARBOR OPERATIONS,N6883621F0091,488310,PORT AND HARBOR OPERATIONS,M2AB,HUSBANDING SERVICES-FORCE PROTECTION,ADJUNTAS,PR,6010132,84986,Contract
pn6274218d1802n6274221f01040,NAVAL BASE GUAM ENGINEERING SERVICES,N6274221F0104,541330,ENGINEERING SERVICES,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,AGANA HEIGHTS,GU,969106001,1557897,Contract
