contractingofficeID:ID,name,title,city,state,zip,COUNTRY_CODE,:LABEL,Column1
O004234,SECRETARY OF THE SENATE,SECRETARY OF THE SENATE,WASHINGTON,DC,20510,USA,ContractingOffice,
O023106,US CAPITOL POLICE PROCUREMENT,US CAPITOL POLICE PROCUREMENT,WASHINGTON,DC,20003,USA,ContractingOffice,
O030ADV,CONTRACTS SERVICES,CONTRACTS SERVICES,WASHINGTON,DC,20540,USA,ContractingOffice,
O033103,LIBRARY OF CONGRESS FEDLINK,LIBRARY OF CONGRESS FEDLINK,WASHINGTON,DC,20540,USA,ContractingOffice,
O05GA0A,US GAO ACQUISITION MANAGEMENT,US GAO ACQUISITION MANAGEMENT,WASHINGTON,DC,20548,USA,ContractingOffice,
O1033E5,WESTERN DISTRICT COURT OF NC,WESTERN DISTRICT COURT OF NC,CHARLOTTE,NC,28202,USA,ContractingOffice,
O10QU10,DISTRICT FLORIDA SOUTHERN,DISTRICT FLORIDA SOUTHERN,MIAMI,FL,33128,USA,ContractingOffice,
O10QU15,US PROBATION NM,US PROBATION NM,ALBUQUERQUE,NM,87102,USA,ContractingOffice,
O10QU16,US DISTRICT COURT IA NORTHERN,US DISTRICT COURT IA NORTHERN,CEDAR RAPIDS,IA,52401,USA,ContractingOffice,
O10QU17,US DISTRICT COURT RI,US DISTRICT COURT RI,PROVIDENCE,RI,2903,USA,ContractingOffice,
O10QU18,FEDERAL PUBLIC DEFENDER TXW,FEDERAL PUBLIC DEFENDER TXW,SAN ANTONIO,TX,78206,USA,ContractingOffice,
O10QU19,US DISTRICT COURT OKW,US DISTRICT COURT OKW,OKLAHOMA CITY,OK,73102,USA,ContractingOffice,
O10QU20,US PROBATION OFFICE TXW,US PROBATION OFFICE TXW,SAN ANTONIO,TX,78206,USA,ContractingOffice,
O10QU25,FEDERAL PUBLIC DEF TNM NASHVILLE,FEDERAL PUBLIC DEF TNM NASHVILLE,NASHVILLE,TN,37203,USA,ContractingOffice,
O10QU30,US DISTRICT CT CAC LOS ANGELES,US DISTRICT CT CAC LOS ANGELES,LOS ANGELES,CA,90012,USA,ContractingOffice,
O10QU35,US DISTRICT CT SOUTH DAKOTA,US DISTRICT CT SOUTH DAKOTA,SIOUX FALLS,SD,57104,USA,ContractingOffice,
O10QU40,US DISTRICT CT LITTLE ROCK AR,US DISTRICT CT LITTLE ROCK AR,LITTLE ROCK,AR,72201,USA,ContractingOffice,
O10QU45,US PROBATION OFFICE SOUTHERN IN,US PROBATION OFFICE SOUTHERN IN,INDIANAPOLIS,IN,46204,USA,ContractingOffice,
O10QU50,US BANKRUPTCY COURT VAE,US BANKRUPTCY COURT VAE,RICHMOND,VA,23219,USA,ContractingOffice,
O10QU55,UNITED STATES BANKRUPTCY COURT NORTHERN OH,UNITED STATES BANKRUPTCY COURT NORTHERN OH,CLEVELAND,OH,44114,USA,ContractingOffice,
O10QU60,US PROBATION OFFICE SOUTHERN AL,US PROBATION OFFICE SOUTHERN AL,MOBILE,AL,36602,USA,ContractingOffice,
O10QU65,OFFICE OF FED PUBLIC DEF EASTERN VA,OFFICE OF FED PUBLIC DEF EASTERN VA,ALEXANDRIA,VA,22314,USA,ContractingOffice,
O10QU70,US DISTRICT COURT FLS,US DISTRICT COURT FLS,MIAMI,FL,33128,USA,ContractingOffice,
O10QU80,US DISTRICT COURT OHN CLEVELAND,US DISTRICT COURT OHN CLEVELAND,CLEVELAND,OH,44113,USA,ContractingOffice,
O10QU85,US PROBATION OFFICE NC_M,US PROBATION OFFICE NC_M,GREENSBORO,NC,27401,USA,ContractingOffice,
O10QU90,US PROBATION OFFICE MARYLAND,US PROBATION OFFICE MARYLAND,BALTIMORE,MD,21201,USA,ContractingOffice,
O10QU95,US PROBATION OFFICE CA_NORTHERN,US PROBATION OFFICE CA_NORTHERN,SAN FRANCISCO,CA,94102,USA,ContractingOffice,
O113160,EOP OFFICE OF ADMINISTRATION,EOP OFFICE OF ADMINISTRATION,WASHINGTON,DC,20503,USA,ContractingOffice,
O1131CP,INTER AMERICAN FOUNDATION,INTER AMERICAN FOUNDATION,WASHINGTON,DC,20004,USA,ContractingOffice,
O1131PL,US TRADE AND DEVELOPMENT AGENCY,US TRADE AND DEVELOPMENT AGENCY,ARLINGTON,VA,22209,USA,ContractingOffice,
O1145PC,PEACE CORPS OACM,PEACE CORPS OACM,WASHINGTON,DC,20526,USA,ContractingOffice,
O11UADF,US AFRICAN DEVELOPMENT FOUNDATION,US AFRICAN DEVELOPMENT FOUNDATION,WASHINGTON,DC,20005,USA,ContractingOffice,
O12001G,USDA FOREST SERVICE,USDA FOREST SERVICE,CORDOVA,AK,99574,USA,ContractingOffice,
O120109,ALASKA REGIONAL OFFICE R10,ALASKA REGIONAL OFFICE R10,JUNEAU,AK,99802,USA,ContractingOffice,
O120112,TONGASS NATIONAL FOREST,TONGASS NATIONAL FOREST,PETERSBURG,AK,99833,USA,ContractingOffice,
O120114,USDA FOREST SERVICE,USDA FOREST SERVICE,SITKA,AK,99835,USA,ContractingOffice,
O120116,USDA FOREST SERVICE,USDA FOREST SERVICE,KETCHIKAN,AK,99901,USA,ContractingOffice,
O12011S,USDA APHIS VS,USDA APHIS VS,PALMER,AK,99645,USA,ContractingOffice,
O12011U,PALMER ALASKA WILDLIFE SERVICES OFC,PALMER ALASKA WILDLIFE SERVICES OFC,PALMER,AK,99645,USA,ContractingOffice,
O120120,CHUGACH NATIONAL FOREST,CHUGACH NATIONAL FOREST,ANCHORAGE,AK,99501,USA,ContractingOffice,
O12012A,USDA APHIS PPQ,USDA APHIS PPQ,ANCHORAGE,AK,99503,USA,ContractingOffice,
