:START_ID,name,:END_ID,:TYPE
D1200,AGRICULTURE_DEPARTMENT OF,executive,PART_OF
D1300,COMMERCE_DEPARTMENT OF,executive,PART_OF
D9700,DEPT OF DEFENSE,executive,PART_OF
D9100,EDUCATION_DEPARTMENT OF,executive,PART_OF
D8900,ENERGY_DEPARTMENT OF,executive,PART_OF
D1100,EXECUTIVE OFFICE OF THE PRESIDENT,executive,PART_OF
D7500,HEALTH AND HUMAN SERVICES_DEPARTMENT OF,executive,PART_OF
D7000,HOMELAND SECURITY_DEPARTMENT OF,executive,PART_OF
D8600,HOUSING AND URBAN DEVELOPMENT_DEPARTMENT OF,executive,PART_OF
D1400,INTERIOR_DEPARTMENT OF THE,executive,PART_OF
D1500,JUSTICE_DEPARTMENT OF,executive,PART_OF
D1600,LABOR_DEPARTMENT OF,executive,PART_OF
D1145,PEACE CORPS,executive,PART_OF
D1900,STATE_DEPARTMENT OF,executive,PART_OF
D6900,TRANSPORTATION_DEPARTMENT OF,executive,PART_OF
D2000,TREASURY_DEPARTMENT OF THE,executive,PART_OF
D1153,UNITED STATES TRADE AND DEVELOPMENT AGENCY,executive,PART_OF
D3600,VETERANS AFFAIRS_DEPARTMENT OF,executive,PART_OF
D9515,ADMINISTRATIVE CONFERENCE OF THE U. S.,independent_federal_quasi_fed_org,PART_OF
D7200,AGENCY FOR INTERNATIONAL DEVELOPMENT,independent_federal_quasi_fed_org,PART_OF
D7400,AMERICAN BATTLE MONUMENTS COMMISSION,independent_federal_quasi_fed_org,PART_OF
D4602,APPALACHIAN REGIONAL COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9532,ARCHITECTURAL AND TRANSPORTATION BARRIERS COMPLIANCE BOARD,independent_federal_quasi_fed_org,PART_OF
D84AF,ARMED FORCES RETIREMENT HOME,independent_federal_quasi_fed_org,PART_OF
D9560,BARRY GOLDWATER SCHOLARSHIP AND EXCELLENCE IN EDUCATION FUND,independent_federal_quasi_fed_org,PART_OF
D9565,CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD,independent_federal_quasi_fed_org,PART_OF
D9537,COMMISSION OF FINE ARTS,independent_federal_quasi_fed_org,PART_OF
D9518,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND OR SEVERELY DISABLED,independent_federal_quasi_fed_org,PART_OF
D9507,COMMODITY FUTURES TRADING COMMISSION,independent_federal_quasi_fed_org,PART_OF
D955F,CONSUMER FINANCIAL PROTECTION BUREAU,independent_federal_quasi_fed_org,PART_OF
D6100,CONSUMER PRODUCT SAFETY COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,independent_federal_quasi_fed_org,PART_OF
D9594,COURT SERVICES AND OFFENDER SUPERVISION AGENCY,independent_federal_quasi_fed_org,PART_OF
D9516,DEFENSE NUCLEAR FACILITIES SAFETY BOARD,independent_federal_quasi_fed_org,PART_OF
D9572,DENALI COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9534,DISTRICT OF COLUMBIA COURTS,independent_federal_quasi_fed_org,PART_OF
D9523,ELECTION ASSISTANCE COMMISSION,independent_federal_quasi_fed_org,PART_OF
D6800,ENVIRONMENTAL PROTECTION AGENCY,independent_federal_quasi_fed_org,PART_OF
D4500,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,independent_federal_quasi_fed_org,PART_OF
D8300,EXPORT-IMPORT BANK OF THE US,independent_federal_quasi_fed_org,PART_OF
D2700,FEDERAL COMMUNICATIONS COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9506,FEDERAL ELECTION COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9542,FEDERAL HOUSING FINANCE AGENCY,independent_federal_quasi_fed_org,PART_OF
D5400,FEDERAL LABOR RELATIONS AUTHORITY,independent_federal_quasi_fed_org,PART_OF
D6500,FEDERAL MARITIME COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9300,FEDERAL MEDIATION AND CONCILIATION SERVICE,independent_federal_quasi_fed_org,PART_OF
D9504,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,independent_federal_quasi_fed_org,PART_OF
D2900,FEDERAL TRADE COMMISSION,independent_federal_quasi_fed_org,PART_OF
D4700,GENERAL SERVICES ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D9533,GULF COAST ECOSYSTEM RESTORATION COUNCIL,independent_federal_quasi_fed_org,PART_OF
D9519,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,independent_federal_quasi_fed_org,PART_OF
D19BM,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO,independent_federal_quasi_fed_org,PART_OF
D3400,INTERNATIONAL TRADE COMMISSION,independent_federal_quasi_fed_org,PART_OF
D3352,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS,independent_federal_quasi_fed_org,PART_OF
D2090,LEGAL SERVICES CORPORATION,independent_federal_quasi_fed_org,PART_OF
D9513,MARINE MAMMAL COMMISSION,independent_federal_quasi_fed_org,PART_OF
D4100,MERIT SYSTEMS PROTECTION BOARD,independent_federal_quasi_fed_org,PART_OF
D9543,MILLENNIUM CHALLENGE CORPORATION,independent_federal_quasi_fed_org,PART_OF
D9545,MORRIS K. UDALL SCHOLARSHIP AND EXCELLENCE IN NATIONAL ENVIRONMENTAL POLICY FOUNDATION,independent_federal_quasi_fed_org,PART_OF
D8000,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D8800,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D9502,NATIONAL CAPITAL PLANNING COMMISSION,independent_federal_quasi_fed_org,PART_OF
D2500,NATIONAL CREDIT UNION ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D5920,NATIONAL ENDOWMENT FOR THE ARTS,independent_federal_quasi_fed_org,PART_OF
D4340,NATIONAL ENDOWMENT FOR THE HUMANITIES,independent_federal_quasi_fed_org,PART_OF
D3355,NATIONAL GALLERY OF ART,independent_federal_quasi_fed_org,PART_OF
D6300,NATIONAL LABOR RELATIONS BOARD,independent_federal_quasi_fed_org,PART_OF
D9524,NATIONAL MEDIATION BOARD,independent_federal_quasi_fed_org,PART_OF
D4900,NATIONAL SCIENCE FOUNDATION,independent_federal_quasi_fed_org,PART_OF
D9508,NATIONAL TRANSPORTATION SAFETY BOARD,independent_federal_quasi_fed_org,PART_OF
D9557,NORTHERN BORDER REGIONAL COMMISSION,independent_federal_quasi_fed_org,PART_OF
D3100,NUCLEAR REGULATORY COMMISSION,independent_federal_quasi_fed_org,PART_OF
D4856,NUCLEAR WASTE TECHNICAL REVIEW BOARD,independent_federal_quasi_fed_org,PART_OF
D9514,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9549,OFFICE OF GOVERNMENT ETHICS,independent_federal_quasi_fed_org,PART_OF
D2400,OFFICE OF PERSONNEL MANAGEMENT,independent_federal_quasi_fed_org,PART_OF
D6201,OFFICE OF SPECIAL COUNSEL,independent_federal_quasi_fed_org,PART_OF
D7100,OVERSEAS PRIVATE INVESTMENT CORPORATION,independent_federal_quasi_fed_org,PART_OF
D1665,PENSION BENEFIT GUARANTY CORPORATION,independent_federal_quasi_fed_org,PART_OF
D1800,POSTAL SERVICE,independent_federal_quasi_fed_org,PART_OF
D9526,PRIVACY AND CIVIL LIBERTIES OVERSIGHT BOARD,independent_federal_quasi_fed_org,PART_OF
D6000,RAILROAD RETIREMENT BOARD,independent_federal_quasi_fed_org,PART_OF
D5000,SECURITIES AND EXCHANGE COMMISSION,independent_federal_quasi_fed_org,PART_OF
D9000,SELECTIVE SERVICE SYSTEM,independent_federal_quasi_fed_org,PART_OF
D7300,SMALL BUSINESS ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D3300,SMITHSONIAN INSTITUTION,independent_federal_quasi_fed_org,PART_OF
D2800,SOCIAL SECURITY ADMINISTRATION,independent_federal_quasi_fed_org,PART_OF
D9505,SURFACE TRANSPORTATION BOARD,independent_federal_quasi_fed_org,PART_OF
D9511,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY ,independent_federal_quasi_fed_org,PART_OF
D5300,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,independent_federal_quasi_fed_org,PART_OF
D9568,UNITED STATES AGENCY FOR GLOBAL MEDIA_BBG,independent_federal_quasi_fed_org,PART_OF
D7700,UNITED STATES INTERNATIONAL DEVELOPMENT FINANCE CORPORATION,independent_federal_quasi_fed_org,PART_OF
D2300,US TAX COURT,independent_federal_quasi_fed_org,PART_OF
D9536,VIETNAM EDUCATION FOUNDATION,independent_federal_quasi_fed_org,PART_OF
