:START_ID,name,:END_ID,:TYPE
O122B46,USDA NRCS,p122b4618c0010,AWARDED
O12FPC1,USDA NRCS,p12fpc119p0163,AWARDED
O12FPC1,USDA NRCS,p12fpc119p0197,AWARDED
O12FPC1,USDA NRCS,p12fpc119p0282,AWARDED
O15DDHQ,DEA HQ,p15ddhq20p00000954,AWARDED
O15DDHQ,DEA HQ,p47qtca20d002y15ddhq20f00000457,AWARDED
O15DDHQ,DEA HQ,pdjd17k0008,AWARDED
O15DDHQ,DEA HQ,pgs00q17gwd2028djd17hqe0284,AWARDED
O15F067,FBI SOAPS,p15f06718p0005278,AWARDED
O15F067,FBI SOAPS,p47qraa20d005f15f06720f0002998,AWARDED
O15F067,FBI SOAPS,p47qtca20d002y15f06720f0002467,AWARDED
O15F067,FBI SOAPS,pdjf141200s000656615f06718f0002663,AWARDED
O15F067,FBI SOAPS,pdjf141200s000656615f06719f0001059,AWARDED
O15F067,FBI SOAPS,pdjf161200p0007512,AWARDED
O15F067,FBI SOAPS,pgs10f0492mdjf141200s0006566,AWARDED
O47PA03,FBI SOAPS,pgs00p16lyc7010,AWARDED
O47PA03,FBI SOAPS,pgs00p17lyc0026,AWARDED
O47QFDA,HUD GNMA,p47qfda19c0006,AWARDED
O47QFRA,DHA IT Support,p47qfra18c0029,AWARDED
O47QFRA,DHA IT Support,p47qfra19c0005,AWARDED
O47QFRA,DHA IT Support,p47qfra20c0002,AWARDED
O47QFSA,CDC Acquisition Support,p47qfsa20c0015,AWARDED
O47QFWA,USAF Reaper PMO,p47qtca20d002y47qfwa20f0042,AWARDED
O47QRAA,GSA PSS,p47qraa20d005f,AWARDED
O47QRAA,GSA PSS,pgs00f145ca,AWARDED
O47QRAA,GSA PSS,pgs10f0492m,AWARDED
O47QRAD,GSA OASIS,p47qrad20d1140,AWARDED
O47QRAD,GSA OASIS,p47qrad20d8152,AWARDED
O47QTCA,GSA IT,p47qtca20d002y,AWARDED
O47QTCA,GSA IT,pgs35f287da,AWARDED
O693JK4,DOT,p693jk418p600048,AWARDED
O70FA20,FEMA Training,p70fa2018p00000084,AWARDED
O70FA20,FEMA Training,pgs00f145ca70fa2018f00000096,AWARDED
O70Z023,USCG Acquisition Support,p70z03219dp00vm10070z02320fp00ae000,AWARDED
O70Z023,USCG Acquisition Support,p70z03219dp00vm10070z02320fp04n2300,AWARDED
O70Z023,USCG Acquisition Support,p70z03219dp00vm10070z02320fpe2a0200,AWARDED
O70Z023,USCG Acquisition Support,p70z03219dp00vm10070z02320fpe6e0600,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm100,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm10070z03219f29p00kc8,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm10070z03219f32p04h81,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm10070z03219fp04af600,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm10070z03220fp04n1500,AWARDED
O70Z032,USCG Acquisition Support,p70z03219dp00vm10070z03220fpe2i0700,AWARDED
O72MC10,USAID M/CIO,p72mc1019c00001,AWARDED
O72MC10,USAID M/CIO,paidcioc1600013,AWARDED
O75D301,CDC Acquisition Support,p75d30118c01417,AWARDED
O75D301,CDC Acquisition Support,p75d30120c09340,AWARDED
O75D301,CDC Acquisition Support,p75d30120c09569,AWARDED
O75D301,CDC Acquisition Support,phhsd200201459412c,AWARDED
O75D301,CDC Acquisition Support,phhsd200201459570ihhsd2002014595700004,AWARDED
