:START_ID,name,:END_ID,:TYPE
O140D04,MEDICAL TREATMENT FACILITY ELECTRONIC COMPUTER MANUFACTURING,pnng15sc20b140d0421f02610,AWARDED
O140D04,MEDICAL TREATMENT FACILITY OTHER COMPUTER RELATED SERVICES,pnng15sc55b140d0421f00790,AWARDED
O140D04,MEDICAL TREATMENT FACILITY OTHER COMPUTER RELATED SERVICES,pnng15sd11b140d0421f01250,AWARDED
O140D04,NAVSEA HQ NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,p140d0420d0008140d0421f01700,AWARDED
O140D04,NAVSEA HQ OTHER NONSCHEDULED AIR TRANSPORTATION,p140d0420d0001140d0421f00150,AWARDED
O140D80,NAVSEA HQ NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,pind17pa00005140d8021f02600,AWARDED
O140D80,NAVSEA HQ NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,pind17pa00005140d8021f03190,AWARDED
O140D80,NAVSEA HQ NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,pind17pa00025140d8021f00030,AWARDED
O140D80,NAVSEA HQ OTHER NONSCHEDULED AIR TRANSPORTATION,p140d8021d00010,AWARDED
O140D80,NAVSEA HQ OTHER NONSCHEDULED AIR TRANSPORTATION,p140d8021d0001140d8021f00040,AWARDED
O140D81,NAVSEA HQ NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,pind17pc00382140d8121f00240,AWARDED
O19AQMA,COMMANDING OFFICER OTHER COMPUTER RELATED SERVICES,pnng15sc82b19aqma21f02580,AWARDED
O19AQMA,COMMANDING OFFICER OTHER COMPUTER RELATED SERVICES,pnng15sd84b19aqma21f02130,AWARDED
O19AQMM,COMMANDING OFFICER OTHER COMPUTER RELATED SERVICES,pnng15sc82b19aqmm21f02140,AWARDED
O19CG50,COMMANDING OFFICER PACKING AND CRATING,pscg50016d000119cg5021f02190,AWARDED
O19CG50,COMMANDING OFFICER PACKING AND CRATING,pscg50016d000219cg5021f02300,AWARDED
O19GA10,MARINE CORPS LIAISON OFFICER V(A)I TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,p19ga1021p01400,AWARDED
O19SN10,NAVAL MED RESEARCH CENTER ASIA INSURANCE AGENCIES AND BROKERAGES,pssn10017d000219sn1021f00560,AWARDED
O19T040,COMMANDING OFFICER FREIGHT TRANSPORTATION ARRANGEMENT,p19t04021p00010,AWARDED
O19TC12,"COMMANDING OFFICER CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING",p19tc1221p01060,AWARDED
O19Z115,COMMANDING OFFICER FREIGHT TRANSPORTATION ARRANGEMENT,pszi15017d000319z11521f04790,AWARDED
O19Z115,COMMANDING OFFICER FREIGHT TRANSPORTATION ARRANGEMENT,pszi15017d000619z11521f03360,AWARDED
O47PG08,COMMANDING OFFICER FACILITIES SUPPORT SERVICES,p47pg0119d000947pg0821f00270,AWARDED
O47QFAA,BUMED EAA OTHER COMPUTER RELATED SERVICES,p47qfaa21p00020,AWARDED
O47QFAA,FLEET READINESS CENTER CUSTOM COMPUTER PROGRAMMING SERVICES,p47qfaa21a00020,AWARDED
O47QFCA,COMMANDER OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,p47qfca20d000547qfca21f00260,AWARDED
O47QFCA,COMMANDER OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,p47qfca20d000547qfca21f00270,AWARDED
O47QFCA,"COMMANDING OFFICER RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",p47qfca20d000447qfca21f00150,AWARDED
O47QFCA,"COMMANDING OFFICER RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",p47qfca20d000447qfca21f00160,AWARDED
O47QFLA,"CENTER FOR SURFACE COMBAT SYSTEMS RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",p47qfla20d001547qfla21f00180,AWARDED
O47QFLA,COMMANDER OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,p47qfla19d000647qfla21f00640,AWARDED
O47QFLA,COMMANDER OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,p47qfla19d000647qfla21f00750,AWARDED
