awarding_agency_code,awarding_agency_name,awarding_office_code,awarding_office_name,funding_agency_code,funding_agency_name,funding_office_code,funding_office_name
13,DEPARTMENT OF COMMERCE (DOC),1333ND,DEPT OF COMMERCE NIST,97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),M00260,MARINE CORPS AIR FACILITY
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N00013,JUDGE ADVOCATE GENERAL OF THE NAVY
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N00025,NAVAL FACILITIES ENGINEERING COMD
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N00167,NSWC CARDEROCK
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N07210,COMNAVRESFOR WCI
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N46245,MEDICAL TREATMENT FACILITY
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N46246,MEDICAL TREATMENT FACILITY
14,DEPARTMENT OF THE INTERIOR (DOI),140D04,IBC ACQ SVCS DIRECTORATE (00004),97,DEPARTMENT OF DEFENSE (DOD),N63394,COMMANDING OFFICER
14,DEPARTMENT OF THE INTERIOR (DOI),140D70,IBC ACQ SERVICE DIVISION (00070),97,DEPARTMENT OF DEFENSE (DOD),M95450,COMMANDER
14,DEPARTMENT OF THE INTERIOR (DOI),140D70,IBC ACQ SERVICE DIVISION (00070),97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
14,DEPARTMENT OF THE INTERIOR (DOI),140D70,IBC ACQ SERVICE DIVISION (00070),97,DEPARTMENT OF DEFENSE (DOD),N00025,NAVAL FACILITIES ENGINEERING COMD
14,DEPARTMENT OF THE INTERIOR (DOI),140D70,IBC ACQ SERVICE DIVISION (00070),97,DEPARTMENT OF DEFENSE (DOD),N46581,NAVAL SURFACE FORCE USLANTFLT
14,DEPARTMENT OF THE INTERIOR (DOI),140D70,IBC ACQ SERVICE DIVISION (00070),97,DEPARTMENT OF DEFENSE (DOD),N63394,COMMANDING OFFICER
14,DEPARTMENT OF THE INTERIOR (DOI),140D80,IBC AVIATION MANAGEMENT (00080),97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
14,DEPARTMENT OF THE INTERIOR (DOI),140D80,IBC AVIATION MANAGEMENT (00080),97,DEPARTMENT OF DEFENSE (DOD),N13274,CGC POINT CARREW WPB 82374
14,DEPARTMENT OF THE INTERIOR (DOI),140D80,IBC AVIATION MANAGEMENT (00080),97,DEPARTMENT OF DEFENSE (DOD),N57859,NSWC LEMOORE TACTICAL TRAINING RANG
14,DEPARTMENT OF THE INTERIOR (DOI),140D81,IBC AVIATION MANAGEMENT (00081),97,DEPARTMENT OF DEFENSE (DOD),N00024,NAVSEA HQ
19,DEPARTMENT OF STATE (DOS),191D32,U.S. EMBASSY JAKARTA,97,DEPARTMENT OF DEFENSE (DOD),V09576,0ARRIER GROUP 2
19,DEPARTMENT OF STATE (DOS),191N29,AMERICAN CONSULATE MUMBAI,97,DEPARTMENT OF DEFENSE (DOD),V55615,MARINE HELICOPTER SQUADRON HMX 1
19,DEPARTMENT OF STATE (DOS),19AQMA,ACQUISITIONS - AQM ARIBA,97,DEPARTMENT OF DEFENSE (DOD),N23656,EL FARO RORO 4776
19,DEPARTMENT OF STATE (DOS),19AQMA,ACQUISITIONS - AQM ARIBA,97,DEPARTMENT OF DEFENSE (DOD),N30027,NAVY CEREMONIAL GUARD
19,DEPARTMENT OF STATE (DOS),19AQMA,ACQUISITIONS - AQM ARIBA,97,DEPARTMENT OF DEFENSE (DOD),N63285,NCIS QUANTICO VA
19,DEPARTMENT OF STATE (DOS),19AS70,AMERICAN CONSULATE SYDNEY,97,DEPARTMENT OF DEFENSE (DOD),N63285,NCIS QUANTICO VA
19,DEPARTMENT OF STATE (DOS),19CB60,U.S. EMBASSY PHNOM PENH,97,DEPARTMENT OF DEFENSE (DOD),L00127,NORTHROP GRUMMAN CORPORATION
19,DEPARTMENT OF STATE (DOS),19CB60,U.S. EMBASSY PHNOM PENH,97,DEPARTMENT OF DEFENSE (DOD),M00203,MAINT CENTER ALBANY FWD RBE 2ND MAW
19,DEPARTMENT OF STATE (DOS),19CB60,U.S. EMBASSY PHNOM PENH,97,DEPARTMENT OF DEFENSE (DOD),M99A16,MCCS MARINE CORPS EXCHANGE
19,DEPARTMENT OF STATE (DOS),19CB60,U.S. EMBASSY PHNOM PENH,97,DEPARTMENT OF DEFENSE (DOD),Q9870B,"AERO-MACH LABORATORIES, INC"
