keywordID:ID,keyword,count,rank
nepssrskw001,user,895,1
nepssrskw002,form,563,2
nepssrskw003,data,494,3
nepssrskw004,contract,452,4
nepssrskw005,capture,428,5
nepssrskw006,format,376,6
nepssrskw007,document,370,7
nepssrskw008,date,330,8
nepssrskw009,line item,303,9
nepssrskw010,generate,284,10
nepssrskw011,information,259,11
nepssrskw012,action,258,12
nepssrskw013,par,222,13
nepssrskw014,report,214,14
nepssrskw015,associate,214,15
nepssrskw016,award,213,16
nepssrskw017,far,211,17
nepssrskw018,number,204,18
nepssrskw019,include,202,19
nepssrskw020,receive,201,20
nepssrskw021,define,197,21
nepssrskw022,solicitation,193,22
nepssrskw023,require,182,23
nepssrskw024,vendor,181,24
nepssrskw025,workflow,170,25
nepssrskw026,create,169,26
nepssrskw027,process,167,27
nepssrskw028,auto,160,28
nepssrskw029,esb,158,29
nepssrskw030,package,156,30
nepssrskw031,code,156,31
nepssrskw032,based,154,32
nepssrskw033,change,154,33
nepssrskw034,authorize,151,34
nepssrskw035,assign,144,35
nepssrskw036,modification,142,36
nepssrskw037,clause,142,37
nepssrskw038,part,133,38
nepssrskw039,task,133,39
nepssrskw040,allow,132,40
nepssrskw041,event,130,41
nepssrskw042,order,129,42
nepssrskw043,cin,124,43
nepssrskw044,identify,121,44
nepssrskw045,display,121,45
nepssrskw046,automatic,118,46
nepssrskw047,sam,115,47
nepssrskw048,export,115,48
nepssrskw049,time,113,49
nepssrskw050,update,111,50
nepssrskw051,transaction,106,51
nepssrskw052,perform,102,52
nepssrskw053,enter,102,53
nepssrskw054,field,102,54
nepssrskw055,value,99,55
nepssrskw056,status,99,56
nepssrskw057,milestone,98,57
nepssrskw058,related,98,58
nepssrskw059,interface,98,59
nepssrskw060,manage,98,60
nepssrskw061,level,96,61
nepssrskw062,financial,96,62
nepssrskw063,file,95,63
nepssrskw064,record,95,64
nepssrskw065,establish,92,65
nepssrskw066,list,91,66
nepssrskw067,template,91,67
nepssrskw068,prior,91,68
nepssrskw069,view,90,69
nepssrskw070,obligation,90,70
nepssrskw071,fund,87,71
nepssrskw072,term,87,72
nepssrskw073,maintain,86,73
nepssrskw074,log,86,74
nepssrskw075,select,86,75
nepssrskw076,ecf,85,76
nepssrskw077,core,83,77
nepssrskw078,type,82,78
nepssrskw079,key,81,79
nepssrskw080,amount,79,80
nepssrskw081,valid,75,81
nepssrskw082,access,75,82
nepssrskw083,interfacing,74,83
nepssrskw084,element,74,84
nepssrskw085,support,73,85
nepssrskw086,design,73,86
nepssrskw087,subsection,72,87
nepssrskw088,request,71,88
nepssrskw089,requirement,70,89
nepssrskw090,register,70,90
nepssrskw091,standard,68,91
nepssrskw092,uniform contract format,68,92
nepssrskw093,uniform,68,93
nepssrskw094,notify,68,94
nepssrskw095,history,68,95
nepssrskw096,signed,67,96
nepssrskw097,management,66,97
nepssrskw098,multiple,63,98
nepssrskw099,delivery,62,99
nepssrskw100,training,62,100
nepssrskw101,administrator,62,101
nepssrskw102,pds,61,102
nepssrskw103,transmit,60,103
nepssrskw104,constraint,60,104
nepssrskw105,send,59,105
nepssrskw106,source,59,106
nepssrskw107,complete,59,107
nepssrskw108,name,57,108
nepssrskw109,dfars,57,109
nepssrskw110,procurement action,56,110
nepssrskw111,electronic,56,111
nepssrskw112,business,55,112
nepssrskw113,security,55,113
nepssrskw114,amendment,55,114
nepssrskw115,search,54,115
nepssrskw116,summary,54,116
nepssrskw117,processing,54,117
nepssrskw118,CLIN,52,118
nepssrskw119,address,51,119
nepssrskw120,calculate,51,120
nepssrskw121,validate,51,121
nepssrskw122,post,50,122
nepssrskw123,reference,50,123
nepssrskw124,message,49,124
nepssrskw125,exist,49,125
nepssrskw126,function,49,126
nepssrskw127,text,48,127
nepssrskw128,designate,48,128
nepssrskw129,current,48,129
nepssrskw130,SLIN,48,130
nepssrskw131,acquisition,47,131
nepssrskw132,navy-erp,47,132
nepssrskw133,service,47,133
nepssrskw134,specific,47,134
nepssrskw135,notice,47,135
nepssrskw136,audit,45,136
nepssrskw137,query,2,456
nepssrskw138,agency,45,138
nepssrskw139,contractor,44,139
nepssrskw140,condition,44,140
nepssrskw141,execute,44,141
nepssrskw142,approve,44,142
nepssrskw143,proposal,44,143
nepssrskw144,created,43,144
nepssrskw145,notification,43,145
nepssrskw146,track,43,146
nepssrskw147,calendar,42,147
nepssrskw148,criteria,42,148
nepssrskw149,funding,41,149
nepssrskw150,minimum,41,150
nepssrskw151,bid,41,151
nepssrskw152,manual,40,152
nepssrskw153,fail,40,153
nepssrskw154,modify,40,154
nepssrskw155,collect,40,155
nepssrskw156,result,40,156
nepssrskw157,review,39,157
nepssrskw158,external,39,158
nepssrskw159,offer,39,159
nepssrskw160,loa,39,160
nepssrskw161,sent,39,161
nepssrskw162,pre-defined,38,162
nepssrskw163,payment,38,163
nepssrskw164,prevent,38,164
nepssrskw165,routing,38,165
nepssrskw166,assignment,37,166
nepssrskw167,identifier,37,167
nepssrskw168,automate,37,168
nepssrskw169,accept,37,169
nepssrskw170,cancel,36,170
nepssrskw171,route,36,171
nepssrskw172,gfebs,36,172
nepssrskw173,draft,36,173
nepssrskw174,approval,35,174
nepssrskw175,submission,34,175
nepssrskw176,evaluation,34,176
nepssrskw177,results,34,177
nepssrskw178,option,34,178
nepssrskw179,plan,34,179
nepssrskw180,web,34,180
nepssrskw181,specified,33,181
nepssrskw182,receipt,33,182
nepssrskw183,maximum,33,183
nepssrskw184,attachment,32,184
nepssrskw185,further,32,185
nepssrskw186,confirm,32,186
nepssrskw187,appropriate,32,187
nepssrskw188,local,32,188
nepssrskw189,prohibit,31,189
nepssrskw190,failure,31,190
nepssrskw191,enterprise,31,191
nepssrskw192,application,31,192
nepssrskw193,completion,31,193
nepssrskw194,single,30,194
nepssrskw195,section c,30,195
nepssrskw196,assigned,30,196
nepssrskw197,link,30,197
nepssrskw198,selected,29,198
nepssrskw199,sabrs,29,199
nepssrskw200,protest,29,200
nepssrskw201,purpose,29,201
nepssrskw202,final,28,202
nepssrskw203,fpds-ng,28,203
nepssrskw204,populate,28,204
nepssrskw205,response,28,205
nepssrskw206,manually,27,206
nepssrskw207,requirements package,27,207
nepssrskw208,indicate,27,208
nepssrskw209,period,27,209
nepssrskw210,unique,27,210
nepssrskw211,closeout,27,211
nepssrskw212,import,27,212
nepssrskw213,protocol,27,213
nepssrskw214,purchase,27,214
nepssrskw215,determine,26,215
nepssrskw216,dollar,26,216
nepssrskw217,email,26,217
nepssrskw218,consolidation,26,218
nepssrskw219,control,26,219
nepssrskw220,distribution,26,220
nepssrskw221,signature,26,221
nepssrskw222,basic,26,222
nepssrskw223,workload,26,223
nepssrskw224,public notice,26,224
nepssrskw225,range,26,225
nepssrskw226,except,25,226
nepssrskw227,check,25,227
nepssrskw228,reject,25,228
nepssrskw229,electronically,25,229
nepssrskw230,restrict,25,230
nepssrskw231,subpart,25,231
nepssrskw232,quantity,25,232
nepssrskw233,pricing,25,233
nepssrskw234,applicable,24,234
nepssrskw235,content,24,235
nepssrskw236,including,24,236
nepssrskw237,ko,24,237
nepssrskw238,database,24,238
nepssrskw239,compliance,23,239
nepssrskw240,publish,23,240
nepssrskw241,available,23,241
nepssrskw242,configure,23,242
nepssrskw243,incoming,23,243
nepssrskw244,API,23,244
nepssrskw245,cost,23,245
nepssrskw246,offeror,23,246
nepssrskw247,car,22,247
nepssrskw248,receives,22,248
nepssrskw249,accounting,22,249
nepssrskw250,description,22,250
nepssrskw251,cannot,21,251
nepssrskw252,individual,21,252
nepssrskw253,total,21,253
nepssrskw254,describing,21,254
nepssrskw255,copy,21,255
nepssrskw256,procurement instrument,21,256
nepssrskw257,case,21,257
nepssrskw258,administration,21,258
nepssrskw259,palt,21,259
nepssrskw260,mall,21,260
nepssrskw261,mandatory,20,261
nepssrskw262,office,20,262
nepssrskw263,master,20,263
nepssrskw264,elin,20,264
nepssrskw265,connect,19,265
nepssrskw266,version,19,266
nepssrskw267,fill-in,19,267
nepssrskw268,functional,19,268
nepssrskw269,availability,19,269
nepssrskw270,identification,19,270
nepssrskw271,concurrent,19,271
nepssrskw272,contract action,18,272
nepssrskw273,validation,18,273
nepssrskw274,error,18,274
nepssrskw275,obligate,18,275
nepssrskw276,point,18,276
nepssrskw277,issue,18,277
nepssrskw278,gex,17,278
nepssrskw279,notified,17,279
nepssrskw280,comment,17,280
nepssrskw281,logic,17,281
nepssrskw282,scheduled,17,282
nepssrskw283,alert,16,283
nepssrskw284,acceptance,16,284
nepssrskw285,supplement,16,285
nepssrskw286,announcement,16,286
nepssrskw287,active,16,287
nepssrskw288,parameter,16,288
nepssrskw289,statistics,16,289
nepssrskw290,entry,15,290
nepssrskw291,commercial,15,291
nepssrskw292,initiate,14,292
nepssrskw293,structure,14,293
nepssrskw294,special,14,294
nepssrskw295,government,14,295
nepssrskw296,addition,14,296
nepssrskw297,modified,14,297
nepssrskw298,SOW,14,298
nepssrskw299,registration,14,299
nepssrskw300,piid,14,300
nepssrskw301,activity,14,301
nepssrskw302,internal,14,302
nepssrskw303,same,14,303
nepssrskw304,section b,14,304
nepssrskw305,acknowledge,13,305
nepssrskw306,limit,13,306
nepssrskw307,build,13,307
nepssrskw308,chinfo,13,308
nepssrskw309,dodaac,13,309
nepssrskw310,generation,13,310
nepssrskw311,architect,13,311
nepssrskw312,digital,13,312
nepssrskw313,commitment,12,313
nepssrskw314,assist,12,314
nepssrskw315,certificate,12,315
nepssrskw316,program,12,316
nepssrskw317,dfars part,12,317
nepssrskw318,print,12,318
nepssrskw319,place,11,319
nepssrskw320,transfer,11,320
nepssrskw321,exceed,11,321
nepssrskw322,estimate,11,322
nepssrskw323,specification,11,323
nepssrskw324,PSC,11,324
nepssrskw325,SOO,11,325
nepssrskw326,lock,11,326
nepssrskw327,cage,11,327
nepssrskw328,graphical,10,328
nepssrskw329,certification,10,329
nepssrskw330,purchase request,10,330
nepssrskw331,duns,10,331
nepssrskw332,instructions,10,332
nepssrskw333,operation,10,333
nepssrskw334,missions,10,334
nepssrskw335,initiating,10,335
nepssrskw336,cage code,10,336
nepssrskw337,requiring,9,337
nepssrskw338,ad hoc,9,338
nepssrskw339,xml,9,339
nepssrskw340,implement,9,340
nepssrskw341,federal,9,341
nepssrskw342,pass,9,342
nepssrskw343,daily,9,343
nepssrskw344,environment,9,344
nepssrskw345,defense,9,345
nepssrskw346,dashboard,9,346
nepssrskw347,necessary,9,347
nepssrskw348,NAICS,8,348
nepssrskw349,determination,8,349
nepssrskw350,nmcars,8,350
nepssrskw351,secure,8,351
nepssrskw352,statement,8,352
nepssrskw353,confirmation,8,353
nepssrskw354,comply,8,354
nepssrskw355,different,8,355
nepssrskw356,UCF,8,356
nepssrskw357,attempt,8,357
nepssrskw358,measure,8,358
nepssrskw359,start,8,359
nepssrskw360,metrics,8,360
nepssrskw361,justification,7,361
nepssrskw362,exhibit,7,362
nepssrskw363,initial,7,363
nepssrskw364,archive,7,364
nepssrskw365,operations,7,365
nepssrskw366,sites,7,366
nepssrskw367,return,7,367
nepssrskw368,ready,7,368
nepssrskw369,prds,7,369
nepssrskw370,compliant,7,370
nepssrskw371,concurrent modification,7,371
nepssrskw372,idiq,7,372
nepssrskw373,pki,7,373
nepssrskw374,permissions,7,374
nepssrskw375,server,7,375
nepssrskw376,need,7,376
nepssrskw377,dpap,7,377
nepssrskw378,correct,7,378
nepssrskw379,synopsis,7,379
