nepskeyID:ID,name,title,:LABEL
neps0663,NEPS-663,FPDS-NG Estimated Completion Date 2D not Mapping to FPDS NGfor QO ,NEPSKey;Duplicate
neps0664,NEPS-664,Ad Hoc Report capabilities and Server error ,NEPSKey;Workaround
neps0665,NEPS-665,Saving user default office code without office code throws exception ,NEPSKey;Duplicate;Workaround
neps0666,NEPS-666,FPDS-NG Type of IDC 6D not Mapping to FPDS NGfrom Itemized Line ,NEPSKey;Duplicate;Workaround
neps0667,NEPS-667,Indefinite Delivery Vehical doc type closes out even with an order against it. ,NEPSKey
neps0669,NEPS-669,Leave Contract File without confirmation for Previous to save or Continue without saving ,NEPSKey;Workaround
neps0670,NEPS-670,Changes T&C summary view does not update clauses in Clause Change Summary tab ,NEPSKey;Workaround
neps0671,NEPS-671,Extensibility Columns in Query Search Results Display Not Being Hidden ,NEPSKey;Workaround
neps0672,NEPS-672,FPDS-NG Comparison Report Should Print Principal FPDS NGUser ,NEPSKey;Workaround
neps0674,NEPS-674,Unable to invoke Relationship Edits using field in Pack Physical Details tab ,NEPSKey;Workaround
neps0675,NEPS-675,Momentum Award_order reference requirements for AA J&A and ITB Announcement ,NEPSKey;Duplicate;Workaround
neps0676,NEPS-676,CDRL CAC Authenticated and validated ,NEPSKey;Navy_Does_Not_Concur;Workaround
neps0677,NEPS-677,Environment Freezes when selecting Itemized Line Tab > Add ,NEPSKey;Workaround
neps0678,NEPS-678,Vendors Physical Address improperly transmitted to SAM.gov Contract Opps ,NEPSKey
neps0679,NEPS-679,T&C Check For Updates Clause Fill In Values Do Not Populate After Verify ,NEPSKey;Duplicate
neps0680,NEPS-680,Cancelling QS doesn't Cancel Solicitation in VSS ,NEPSKey;Duplicate
neps0681,NEPS-681,FPDS-NG Awards QAs and Acquisition Order QOs are not transmitted to FPDS ,NEPSKey;Duplicate;Workaround
neps0682,NEPS-682,Missing Subtype OF 1419 ,NEPSKey
neps0683,NEPS-683,PDS 2.6 Export Modification OrderVariation ,NEPSKey;Workaround
neps0684,NEPS-684,Inability to Delete Document Type ,NEPSKey
neps0685,NEPS-685,DateSigned field getting cleared on QA QO amendment tables ,NEPSKey;Workaround
neps0686,NEPS-686,Unable to open Protests and Disputes Query file ,NEPSKey;Working_As_Designed
neps0687,NEPS-687,SA user create logging events ,NEPSKey
neps0688,NEPS-688,PDS 2.6 Export PricingArrangement not being exported for Informational Lines ,NEPSKey
neps0691,NEPS-691,Setup Pega integration libraries & database ,NEPSKey
neps0692,NEPS-692,Itemized Lines are Sporadically Shifting on Forms MM 23136 ,NEPSKey;Duplicate
neps0693,NEPS-693,Red astericks for required fields for auto generating SOL doc numbers ,NEPSKey
neps0695,NEPS-695,PDS PRDS Import_Export Add OrderVariation Mappings ,NEPSKey
neps0696,NEPS-696,PDF Pop ups blocked in chrome in AWS; settings can only be changed by admin ,NEPSKey;Workaround
neps0697,NEPS-697,Award does not move from Pending Approval after approval ,NEPSKey;Duplicate
neps0699,NEPS-699,FPDS-NG Data Element 6H Label Change ,NEPSKey;Duplicate;Workaround
neps0701,NEPS-701,Update Doc Type Mass Mod Eligibility Setting in Day 1 Env and Populate Mass Mod Configuration ,NEPSKey
