srsID:ID,name,System Requirement Specification (SRS) Text,System Requirement Specification (SRS) Text Only,:LABEL
apd0010000,APD-01,APD-01 The system shall have the capability to receive planning & forecasting data.,The system shall have the capability to receive planning & forecasting data.,Requirement
apd0020000,APD-02,APD-02 The system shall have the capability to import planning & forecasting data.,The system shall have the capability to import planning & forecasting data.,Requirement
apd0030000,APD-03,APD-03 The system shall validate PR line items required to be acquired from a mandatory source.,The system shall validate PR line items required to be acquired from a mandatory source.,Requirement
apd0040000,APD-04,APD-04 The system shall identify PR line items that must be acquired from a mandatory source.,The system shall identify PR line items that must be acquired from a mandatory source.,Requirement
apd0050000,APD-05,APD-05 The system shall provide the capability to report on open contract documents with a status of “awarded”.,The system shall provide the capability to report on open contract documents with a status of “awarded”.,Requirement
apd0050100,APD-05.01,APD-05.01 The system shall provide “awarded” report results on open contract documents by contract document numbers.,The system shall provide “awarded” report results on open contract documents by contract document numbers.,Requirement
apd0050200,APD-05.02,APD-05.02 The system shall provide “awarded” report results on open contract documents by document line numbers.,The system shall provide “awarded” report results on open contract documents by document line numbers.,Requirement
apd0050300,APD-05.03,APD-05.03 The system shall provide “awarded” report results on open contract documents by classification codes.,The system shall provide “awarded” report results on open contract documents by classification codes.,Requirement
apd0050400,APD-05.04,APD-05.04 The system shall provide “awarded” report results on open contract documents by NAICS/United Nations Standard Products and Services Code (UNSPSC) codes.,The system shall provide “awarded” report results on open contract documents by NAICS/United Nations Standard Products and Services Code (UNSPSC) codes.,Requirement
apd0050500,APD-05.05,APD-05.05 The system shall provide “awarded” report results on open contract documents by item number/NSN/part number codes.,The system shall provide “awarded” report results on open contract documents by item number/NSN/part number codes.,Requirement
apd0060000,APD-06,APD-06 The system shall provide the capability to query open contract documents with a status of “awarded”.,The system shall provide the capability to query open contract documents with a status of “awarded”.,Requirement
apd0060100,APD-06.01,APD-06.01 The system shall provide the capability to query open contract documents by classification code with a status of “awarded”.,The system shall provide the capability to query open contract documents by classification code with a status of “awarded”.,Requirement
apd0060200,APD-06.02,APD-06.02 The system shall provide the capability to query open contract documents by NAICS or UNSPSC code with a status of “awarded”.,The system shall provide the capability to query open contract documents by NAICS or UNSPSC code with a status of “awarded”.,Requirement
apd0060300,APD-06.03,APD-06.03 The system shall provide the capability to query open contract documents by item number/NSN/part number with a status of “awarded”.,The system shall provide the capability to query open contract documents by item number/NSN/part number with a status of “awarded”.,Requirement
apd0070000,APD-07,APD-07 The system shall identify PR line items for separate procurement action when existing contract vehicles exist for the required acquisition.,The system shall identify PR line items for separate procurement action when existing contract vehicles exist for the required acquisition.,Requirement
apd0080000,APD-08,APD-08 The system shall recalculate the extended total estimated cost and quantities based on revisions to the PR.,The system shall recalculate the extended total estimated cost and quantities based on revisions to the PR.,Requirement
apd0090000,APD-09,APD-09 The system shall provide the capability to identify requirements that are eligible for small business concerns.,The system shall provide the capability to identify requirements that are eligible for small business concerns.,Requirement
apd0100000,APD-10,APD-10 The system shall identify PR items that are on specified lists.,The system shall identify PR items that are on specified lists.,Requirement
apd0100100,APD-10.01,APD-10.01 The system shall identify PR items that are on the Federal Supply Schedule.,The system shall identify PR items that are on the Federal Supply Schedule.,Requirement
apd0100200,APD-10.02,APD-10.02 The system shall identify PR items that are on the Procurement List for mandatory sources.,The system shall identify PR items that are on the Procurement List for mandatory sources.,Requirement
apd0100300,APD-10.03,APD-10.03 The system shall identify PR items that are on the Government-wide Acquisition Contracts (GWACS).,The system shall identify PR items that are on the Government-wide Acquisition Contracts (GWACS).,Requirement
apd0110000,APD-11,APD-11 The system shall identify PR items on the prohibited/restricted list.,The system shall identify PR items on the prohibited/restricted list.,Requirement
apd0120000,APD-12,APD-12 The system shall identify if requirement was part of the DON annual forecast of planned procurements.,The system shall identify if requirement was part of the DON annual forecast of planned procurements.,Requirement
apd0130000,APD-13,APD-13 The system shall provide the capability to assign a solicitation number to a Procurement Action Record prior to the receipt of a PR.,The system shall provide the capability to assign a solicitation number to a Procurement Action Record prior to the receipt of a PR.,Requirement
aut0010000,AUT-01,AUT-01 The system shall provide the ability to establish criteria to determine how inbound PR processing should occur without user interaction.,The system shall provide the ability to establish criteria to determine how inbound PR processing should occur without user interaction.,Requirement
aut0010100,AUT-01.01,AUT-01.01 The system shall provide the ability to determine whether inbound PR processing can occur manually.,The system shall provide the ability to determine whether inbound PR processing can occur manually.,Requirement
aut0010200,AUT-01.02,AUT-01.02 The system shall provide the ability to determine whether inbound PR processing can occur automatically.,The system shall provide the ability to determine whether inbound PR processing can occur automatically.,Requirement
aut0010300,AUT-01.03,AUT-01.03 The system shall provide the ability to determine whether inbound PR processing can occur as a solicitation.,The system shall provide the ability to determine whether inbound PR processing can occur as a solicitation.,Requirement
aut0010400,AUT-01.04,AUT-01.04 The system shall provide the ability to determine whether inbound PR processing can occur as an order against an existing ordering vehicle.,The system shall provide the ability to determine whether inbound PR processing can occur as an order against an existing ordering vehicle.,Requirement
aut0010500,AUT-01.05,AUT-01.05 The system shall automatically confirm that an inbound PR that can be processed as an order against an existing ordering vehicle has been received and validated from NAVY-ERP when it receives a PR transmitted by the NAVY-ERP.,The system shall automatically confirm that an inbound PR that can be processed as an order against an existing ordering vehicle has been received and validated from NAVY-ERP when it receives a PR transmitted by the NAVY-ERP.,Requirement
aut0020000,AUT-02,AUT-02 The system shall provide the ability to flag ordering vehicles created within the system as vehicles to issue automatic orders against.,The system shall provide the ability to flag ordering vehicles created within the system as vehicles to issue automatic orders against.,Requirement
aut0030000,AUT-03,AUT-03 The system shall assign an order to the role/user identified in the auto-ordering criteria when an automatic order has been created.,The system shall assign an order to the role/user identified in the auto-ordering criteria when an automatic order has been created.,Requirement
aut0040000,AUT-04,AUT-04 The system shall prevent an automatic order from being added to a role/user's work list when an automatic order has been created.,The system shall prevent an automatic order from being added to a role/user's work list when an automatic order has been created.,Requirement
aut0050000,AUT-05,AUT-05 The system shall automatically create an Award assignment if the PR requires review by a designated role/user.,The system shall automatically create an Award assignment if the PR requires review by a designated role/user.,Requirement
aut0050100,AUT-05.01,AUT-05.01 The system shall automatically assign a PR to the role/user identified in the auto-ordering criteria if the PR requires review by a designated role/user when an Award assignment is automatically created.,The system shall automatically assign a PR to the role/user identified in the auto-ordering criteria if the PR requires review by a designated role/user when an Award assignment is automatically created.,Requirement
aut0050200,AUT-05.02,AUT-05.02 The system shall automatically create an Award assignment if the PR requires processing by a designated role/user.,The system shall automatically create an Award assignment if the PR requires processing by a designated role/user.,Requirement
aut0050300,AUT-05.03,AUT-05.03 The system shall automatically assign a PR to the role/user identified in the auto-ordering criteria if the PR requires processing by a designated role/user when an Award assignment is automatically created.,The system shall automatically assign a PR to the role/user identified in the auto-ordering criteria if the PR requires processing by a designated role/user when an Award assignment is automatically created.,Requirement
aut0060000,AUT-06,AUT-06 The system shall allow for the automatic development of a draft solicitation based upon selected source document(s).,The system shall allow for the automatic development of a draft solicitation based upon selected source document(s).,Requirement
aut0060100,AUT-06.01,AUT-06.01 The system shall automatically assign the Procurement Instrument Identifier (PIID) when an automatic solicitation has been created.,The system shall automatically assign the Procurement Instrument Identifier (PIID) when an automatic solicitation has been created.,Requirement
aut0060200,AUT-06.02,AUT-06.02 The system shall automatically create the solicitation face page when an automatic solicitation has been created.,The system shall automatically create the solicitation face page when an automatic solicitation has been created.,Requirement
aut0060300,AUT-06.03,AUT-06.03 The system shall automatically prepare the solicitation document IAW FAR 12.303 for commercial item acquisitions when an automatic solicitation has been created.,The system shall automatically prepare the solicitation document IAW FAR 12.303 for commercial item acquisitions when an automatic solicitation has been created.,Requirement
aut0060400,AUT-06.04,AUT-06.04 The system shall automatically prepare the solicitation document IAW FAR 15.204-1 for negotiated acquisitions when an automatic solicitation has been created.,The system shall automatically prepare the solicitation document IAW FAR 15.204-1 for negotiated acquisitions when an automatic solicitation has been created.,Requirement
aut0060500,AUT-06.05,AUT-06.05 The system shall automatically prepare the solicitation document IAW FAR 15.204(a)-(e) for optional/locally generated formats for contract types when an automatic solicitation has been created.,The system shall automatically prepare the solicitation document IAW FAR 15.204(a)-(e) for optional/locally generated formats for contract types when an automatic solicitation has been created.,Requirement
aut0060600,AUT-06.06,AUT-06.06 The system shall automatically prepare the solicitation document IAW FAR/DFARS Part 13 for SAP solicitations when an automatic solicitation has been created.,The system shall automatically prepare the solicitation document IAW FAR/DFARS Part 13 for SAP solicitations when an automatic solicitation has been created.,Requirement
aut0060700,AUT-06.07,AUT-06.07 The system shall automatically initiate clause selection when an automatic solicitation has been created.,The system shall automatically initiate clause selection when an automatic solicitation has been created.,Requirement
