:START_ID,name,:END_ID,:TYPE
neps0663,NEPS-663,defect,RECORDED_AS
neps0664,NEPS-664,operational,RECORDED_AS
neps0665,NEPS-665,defect,RECORDED_AS
neps0666,NEPS-666,defect,RECORDED_AS
neps0667,NEPS-667,defect,RECORDED_AS
neps0669,NEPS-669,defect,RECORDED_AS
neps0670,NEPS-670,defect,RECORDED_AS
neps0671,NEPS-671,defect,RECORDED_AS
neps0672,NEPS-672,defect,RECORDED_AS
neps0674,NEPS-674,defect,RECORDED_AS
neps0675,NEPS-675,defect,RECORDED_AS
neps0676,NEPS-676,operational,RECORDED_AS
neps0677,NEPS-677,software,RECORDED_AS
neps0678,NEPS-678,defect,RECORDED_AS
neps0679,NEPS-679,defect,RECORDED_AS
neps0680,NEPS-680,defect,RECORDED_AS
neps0681,NEPS-681,defect,RECORDED_AS
neps0682,NEPS-682,notapplicable,RECORDED_AS
neps0683,NEPS-683,defect,RECORDED_AS
neps0684,NEPS-684,tbd,RECORDED_AS
neps0685,NEPS-685,defect,RECORDED_AS
neps0686,NEPS-686,defect,RECORDED_AS
neps0687,NEPS-687,operational,RECORDED_AS
neps0688,NEPS-688,defect,RECORDED_AS
neps0691,NEPS-691,enhancement,RECORDED_AS
neps0692,NEPS-692,defect,RECORDED_AS
neps0693,NEPS-693,notapplicable,RECORDED_AS
neps0695,NEPS-695,defect,RECORDED_AS
neps0696,NEPS-696,operational,RECORDED_AS
neps0697,NEPS-697,defect,RECORDED_AS
neps0699,NEPS-699,defect,RECORDED_AS
neps0701,NEPS-701,software,RECORDED_AS
neps0702,NEPS-702,defect,RECORDED_AS
neps0703,NEPS-703,tbd,RECORDED_AS
neps0704,NEPS-704,defect,RECORDED_AS
neps0705,NEPS-705,defect,RECORDED_AS
neps0706,NEPS-706,defect,RECORDED_AS
neps0707,NEPS-707,defect,RECORDED_AS
neps0708,NEPS-708,defect,RECORDED_AS
neps0709,NEPS-709,defect,RECORDED_AS
neps0710,NEPS-710,defect,RECORDED_AS
neps0711,NEPS-711,tbd,RECORDED_AS
neps0712,NEPS-712,defect,RECORDED_AS
neps0714,NEPS-714,defect,RECORDED_AS
neps0715,NEPS-715,defect,RECORDED_AS
neps0716,NEPS-716,defect,RECORDED_AS
neps0717,NEPS-717,software,RECORDED_AS
neps0718,NEPS-718,defect,RECORDED_AS
neps0719,NEPS-719,operational,RECORDED_AS
neps0720,NEPS-720,tbd,RECORDED_AS
neps0721,NEPS-721,software,RECORDED_AS
neps0722,NEPS-722,operational,RECORDED_AS
neps0723,NEPS-723,defect,RECORDED_AS
neps0724,NEPS-724,tbd,RECORDED_AS
neps0725,NEPS-725,defect,RECORDED_AS
neps0726,NEPS-726,defect,RECORDED_AS
neps0727,NEPS-727,defect,RECORDED_AS
neps0728,NEPS-728,defect,RECORDED_AS
neps0729,NEPS-729,defect,RECORDED_AS
neps0730,NEPS-730,defect,RECORDED_AS
neps0731,NEPS-731,defect,RECORDED_AS
neps0732,NEPS-732,defect,RECORDED_AS
neps0733,NEPS-733,defect,RECORDED_AS
neps0734,NEPS-734,tbd,RECORDED_AS
neps0735,NEPS-735,tbd,RECORDED_AS
