:START_ID,name,:END_ID,:TYPE
apd0010000,APD-01,nepssrskw411,CONTAINS
apd0010000,APD-01,nepssrskw403,CONTAINS
apd0010000,APD-01,nepssrskw179,CONTAINS
apd0010000,APD-01,nepssrskw020,CONTAINS
apd0010000,APD-01,nepssrskw003,CONTAINS
apd0020000,APD-02,nepssrskw411,CONTAINS
apd0020000,APD-02,nepssrskw403,CONTAINS
apd0020000,APD-02,nepssrskw212,CONTAINS
apd0020000,APD-02,nepssrskw179,CONTAINS
apd0020000,APD-02,nepssrskw003,CONTAINS
apd0030000,APD-03,nepssrskw261,CONTAINS
apd0030000,APD-03,nepssrskw121,CONTAINS
apd0030000,APD-03,nepssrskw106,CONTAINS
apd0030000,APD-03,nepssrskw081,CONTAINS
apd0030000,APD-03,nepssrskw023,CONTAINS
apd0030000,APD-03,nepssrskw009,CONTAINS
apd0030000,APD-03,nepssrskw008,CONTAINS
apd0040000,APD-04,nepssrskw261,CONTAINS
apd0040000,APD-04,nepssrskw106,CONTAINS
apd0040000,APD-04,nepssrskw044,CONTAINS
apd0040000,APD-04,nepssrskw009,CONTAINS
apd0050000,APD-05,nepssrskw056,CONTAINS
apd0050000,APD-05,nepssrskw016,CONTAINS
apd0050000,APD-05,nepssrskw014,CONTAINS
apd0050000,APD-05,nepssrskw007,CONTAINS
apd0050000,APD-05,nepssrskw004,CONTAINS
apd0050100,APD-05.01,nepssrskw177,CONTAINS
apd0050100,APD-05.01,nepssrskw156,CONTAINS
apd0050100,APD-05.01,nepssrskw018,CONTAINS
apd0050100,APD-05.01,nepssrskw016,CONTAINS
apd0050100,APD-05.01,nepssrskw014,CONTAINS
apd0050100,APD-05.01,nepssrskw007,CONTAINS
apd0050100,APD-05.01,nepssrskw004,CONTAINS
apd0050200,APD-05.02,nepssrskw177,CONTAINS
apd0050200,APD-05.02,nepssrskw156,CONTAINS
apd0050200,APD-05.02,nepssrskw018,CONTAINS
apd0050200,APD-05.02,nepssrskw016,CONTAINS
apd0050200,APD-05.02,nepssrskw014,CONTAINS
apd0050200,APD-05.02,nepssrskw007,CONTAINS
apd0050200,APD-05.02,nepssrskw004,CONTAINS
apd0050300,APD-05.03,nepssrskw177,CONTAINS
apd0050300,APD-05.03,nepssrskw156,CONTAINS
apd0050300,APD-05.03,nepssrskw031,CONTAINS
apd0050300,APD-05.03,nepssrskw016,CONTAINS
apd0050300,APD-05.03,nepssrskw014,CONTAINS
apd0050300,APD-05.03,nepssrskw007,CONTAINS
apd0050300,APD-05.03,nepssrskw004,CONTAINS
apd0050400,APD-05.04,nepssrskw348,CONTAINS
apd0050400,APD-05.04,nepssrskw324,CONTAINS
apd0050400,APD-05.04,nepssrskw177,CONTAINS
apd0050400,APD-05.04,nepssrskw156,CONTAINS
apd0050400,APD-05.04,nepssrskw133,CONTAINS
apd0050400,APD-05.04,nepssrskw091,CONTAINS
apd0050400,APD-05.04,nepssrskw031,CONTAINS
apd0050400,APD-05.04,nepssrskw016,CONTAINS
apd0050400,APD-05.04,nepssrskw014,CONTAINS
apd0050400,APD-05.04,nepssrskw007,CONTAINS
apd0050400,APD-05.04,nepssrskw004,CONTAINS
apd0050500,APD-05.05,nepssrskw177,CONTAINS
apd0050500,APD-05.05,nepssrskw156,CONTAINS
apd0050500,APD-05.05,nepssrskw038,CONTAINS
apd0050500,APD-05.05,nepssrskw031,CONTAINS
apd0050500,APD-05.05,nepssrskw018,CONTAINS
apd0050500,APD-05.05,nepssrskw016,CONTAINS
apd0050500,APD-05.05,nepssrskw014,CONTAINS
apd0050500,APD-05.05,nepssrskw013,CONTAINS
apd0050500,APD-05.05,nepssrskw007,CONTAINS
apd0050500,APD-05.05,nepssrskw004,CONTAINS
apd0060000,APD-06,nepssrskw056,CONTAINS
apd0060000,APD-06,nepssrskw016,CONTAINS
apd0060000,APD-06,nepssrskw007,CONTAINS
apd0060000,APD-06,nepssrskw004,CONTAINS
apd0060100,APD-06.01,nepssrskw056,CONTAINS
apd0060100,APD-06.01,nepssrskw031,CONTAINS
apd0060100,APD-06.01,nepssrskw016,CONTAINS
apd0060100,APD-06.01,nepssrskw007,CONTAINS
apd0060100,APD-06.01,nepssrskw004,CONTAINS
apd0060200,APD-06.02,nepssrskw348,CONTAINS
apd0060200,APD-06.02,nepssrskw324,CONTAINS
apd0060200,APD-06.02,nepssrskw056,CONTAINS
apd0060200,APD-06.02,nepssrskw031,CONTAINS
apd0060200,APD-06.02,nepssrskw016,CONTAINS
apd0060200,APD-06.02,nepssrskw007,CONTAINS
apd0060200,APD-06.02,nepssrskw004,CONTAINS
apd0060300,APD-06.03,nepssrskw056,CONTAINS
apd0060300,APD-06.03,nepssrskw038,CONTAINS
apd0060300,APD-06.03,nepssrskw018,CONTAINS
apd0060300,APD-06.03,nepssrskw016,CONTAINS
apd0060300,APD-06.03,nepssrskw013,CONTAINS
apd0060300,APD-06.03,nepssrskw007,CONTAINS
apd0060300,APD-06.03,nepssrskw004,CONTAINS
apd0070000,APD-07,nepssrskw131,CONTAINS
apd0070000,APD-07,nepssrskw125,CONTAINS
apd0070000,APD-07,nepssrskw110,CONTAINS
apd0070000,APD-07,nepssrskw044,CONTAINS
apd0070000,APD-07,nepssrskw023,CONTAINS
apd0070000,APD-07,nepssrskw013,CONTAINS
apd0070000,APD-07,nepssrskw012,CONTAINS
apd0070000,APD-07,nepssrskw009,CONTAINS
apd0070000,APD-07,nepssrskw004,CONTAINS
