:START_ID,name,:END_ID,:TYPE
apd0010000,APD-01,bp001000101,PERFORMED_IN
apd0020000,APD-02,bp001000101,PERFORMED_IN
apd0030000,APD-03,bp001000201,PERFORMED_IN
apd0030000,APD-03,bp001000301,PERFORMED_IN
apd0030000,APD-03,bp001000401,PERFORMED_IN
apd0030000,APD-03,bp001000501,PERFORMED_IN
apd0040000,APD-04,bp000220101,PERFORMED_IN
apd0040000,APD-04,bp001000201,PERFORMED_IN
apd0040000,APD-04,bp001000301,PERFORMED_IN
apd0040000,APD-04,bp001000401,PERFORMED_IN
apd0040000,APD-04,bp001000501,PERFORMED_IN
apd0050000,APD-05,bp000770101,PERFORMED_IN
apd0050000,APD-05,bp001000201,PERFORMED_IN
apd0050100,APD-05.01,bp000770101,PERFORMED_IN
apd0050100,APD-05.01,bp001000201,PERFORMED_IN
apd0050200,APD-05.02,bp000770101,PERFORMED_IN
apd0050200,APD-05.02,bp001000201,PERFORMED_IN
apd0050300,APD-05.03,bp000770101,PERFORMED_IN
apd0050300,APD-05.03,bp001000201,PERFORMED_IN
apd0050400,APD-05.04,bp000770101,PERFORMED_IN
apd0050400,APD-05.04,bp001000201,PERFORMED_IN
apd0050500,APD-05.05,bp000770101,PERFORMED_IN
apd0050500,APD-05.05,bp001000201,PERFORMED_IN
apd0060000,APD-06,bp001000201,PERFORMED_IN
apd0060000,APD-06,bp001000701,PERFORMED_IN
apd0060100,APD-06.01,bp001000201,PERFORMED_IN
apd0060100,APD-06.01,bp001000701,PERFORMED_IN
apd0060200,APD-06.02,bp001000201,PERFORMED_IN
apd0060200,APD-06.02,bp001000701,PERFORMED_IN
apd0060300,APD-06.03,bp001000201,PERFORMED_IN
apd0060300,APD-06.03,bp001000701,PERFORMED_IN
apd0070000,APD-07,bp000220101,PERFORMED_IN
apd0070000,APD-07,bp001000201,PERFORMED_IN
apd0070000,APD-07,bp001000701,PERFORMED_IN
apd0080000,APD-08,bp001000401,PERFORMED_IN
apd0080000,APD-08,bp001000501,PERFORMED_IN
apd0090000,APD-09,bp001000201,PERFORMED_IN
apd0090000,APD-09,bp001000301,PERFORMED_IN
apd0090000,APD-09,bp001000701,PERFORMED_IN
apd0090000,APD-09,bp001000901,PERFORMED_IN
apd0100000,APD-10,bp001000201,PERFORMED_IN
apd0100000,APD-10,bp001000701,PERFORMED_IN
apd0100100,APD-10.01,bp001000201,PERFORMED_IN
apd0100100,APD-10.01,bp001000701,PERFORMED_IN
