onetsocID:ID,ONET-SOC Code,Title,Description,:LABEL
onet11306100soc,11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",Occupation
onet13102300soc,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",Occupation
onet13104100soc,13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",Occupation
onet13104107soc,13-1041.07,Regulatory Affairs Specialists,"Coordinate and document internal regulatory processes, such as internal audits, inspections, license renewals, or registrations. May compile and prepare materials for submission to regulatory agencies.",Occupation
onet13111100soc,13-1111.00,Management Analysts,"Conduct organizational studies and evaluations, design systems and procedures, conduct work simplification and measurement studies, and prepare operations and procedures manuals to assist management in operating more efficiently and effectively. Includes program analysts and management consultants.",Occupation
onet15121100soc,15-1211.00,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software.",Occupation
onet15125300soc,15-1253.00,Software Quality Assurance Analysts and Testers,"Develop and execute software tests to identify software problems and their causes. Test system modifications to prepare for implementation. Document software and application defects using a bug tracking system and report defects to software or web developers. Create and maintain databases of known defects. May participate in software design reviews to provide input on functional requirements, operational characteristics, product designs, and schedules.",Occupation
onet15205101soc,15-2051.01,Business Intelligence Analysts,Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources.,Occupation
onet25309900soc,25-3099.00,"Teachers and Instructors, All Other",All teachers and instructors not listed separately.,Occupation
onet25903100soc,25-9031.00,Instructional Coordinators,"Develop instructional material, coordinate educational content, and incorporate current technology into instruction in order to provide guidelines to educators and instructors for developing curricula and conducting courses. May train and coach teachers. Includes educational consultants and specialists, and instructional material directors.",Occupation
onet43306100soc,43-3061.00,Procurement Clerks,Compile information and records to draw up purchase orders for procurement of materials and services.,Occupation
onet49209100soc,49-2091.00,Avionics Technicians,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles.",Occupation
