:START_ID,name,:END_ID,:TYPE
actorobserverbias3,Actor-Observer Bias,attributionbias2,TYPE_OF
additivebias3,Additive Bias,egocentricbias2,TYPE_OF
agentdetection3,Agent Detection,falsepriors2,TYPE_OF
ambiguityeffect3,Ambiguity Effect,prospecttheory2,TYPE_OF
anthropocentricthinking3,Anthropocentric Thinking,attributionbias2,TYPE_OF
anthropomorphism3,Anthropomorphism,attributionbias2,TYPE_OF
attentionalbias3,Attentional Bias,attributionbias2,TYPE_OF
attributesubstitution3,Attribute Substitution,attributionbias2,TYPE_OF
authoritybias3,Authority Bias,associationfallacy2,TYPE_OF
automationbias3,Automation Bias,falsepriors2,TYPE_OF
availabilitycascade3,Availability Cascade,conformitybias2,TYPE_OF
availabilityheuristic3,Availability Heuristic,attributionbias2,TYPE_OF
baadermeinhofphenomenon3,Baader–Meinhof Phenomenon,attributionbias2,TYPE_OF
backfireeffect3,Backfire Effect,confirmationbias2,TYPE_OF
bandwagoneffect3,Bandwagon Effect,conformitybias2,TYPE_OF
barnumeffect3,Barnum Effect,egocentricbias2,TYPE_OF
baseratefallacy3,Base Rate Fallacy,extensionneglect2,TYPE_OF
baserateneglect3,Base Rate Neglect,extensionneglect2,TYPE_OF
beliefbias3,Belief Bias,truthiness2,TYPE_OF
beliefrevision3,Belief Revision,anchoringbias2,TYPE_OF
benfranklineffect3,Ben Franklin Effect,cognitivedissonance2,TYPE_OF
biasblindspot3,Bias Blind Spot,egocentricbias2,TYPE_OF
bizarrenesseffect3,Bizarreness Effect,egocentricbias2,TYPE_OF
cheerleadereffect3,Cheerleader Effect,associationfallacy2,TYPE_OF
choicesupportivebias3,Choice-Supportive Bias,egocentricbias2,TYPE_OF
clusteringillusion3,Clustering Illusion,apophenia2,TYPE_OF
commonsourcebias3,Common Source Bias,anchoringbias2,TYPE_OF
compassionfade3,Compassion Fade,extensionneglect2,TYPE_OF
confirmationbias3,Confirmation Bias,confirmationbias2,TYPE_OF
congruencebias3,Congruence Bias,confirmationbias2,TYPE_OF
conjunctionfallacy3,Conjunction Fallacy,extensionneglect2,TYPE_OF
conservatismbias3,Conservatism Bias,anchoringbias2,TYPE_OF
consistencybias3,Consistency Bias,logicalfallacy2,TYPE_OF
contexteffect3,Context Effect,egocentricbias2,TYPE_OF
continuedinfluenceeffect3,Continued Influence Effect,confirmationbias2,TYPE_OF
contrasteffect3,Contrast Effect,framingeffect2,TYPE_OF
courtesybias3,Courtesy Bias,conformitybias2,TYPE_OF
crossraceeffect3,Cross-Race Effect,egocentricbias2,TYPE_OF
cryptomnesia3,Cryptomnesia,attributionbias2,TYPE_OF
curseofknowledge3,Curse Of Knowledge,egocentricbias2,TYPE_OF
declinism3,Declinism,logicalfallacy2,TYPE_OF
decoyeffect3,Decoy Effect,framingeffect2,TYPE_OF
