domainID:ID,name,question,:LABEL
anhedonia01,Anhedonia Q1,I do not get as much pleasure out of things as others seem to,FacetQuestion
anhedonia02,Anhedonia Q2,Nothing seems to interest me very much,FacetQuestion
anhedonia03,Anhedonia Q3,I almost never enjoy life,FacetQuestion
anhedonia04,Anhedonia Q4,I am an energetic person,FacetQuestion
anhedonia05,Anhedonia Q5,I almost never feel happy about my day-to-day activities,FacetQuestion
anhedonia06,Anhedonia Q6,I really live life to the fullest,FacetQuestion
anhedonia07,Anhedonia Q7,Nothing seems to make me feel good,FacetQuestion
anhedonia08,Anhedonia Q8,I rarely get enthusiastic about anything,FacetQuestion
anxiousne01,Anxiousness Q1,I worry a lot about terrible things that might happen,FacetQuestion
anxiousne02,Anxiousness Q2,I often worry that something bad will happen due to mistakes i made in the past,FacetQuestion
anxiousne03,Anxiousness Q3,I get very nervous when i think about the future,FacetQuestion
anxiousne04,Anxiousness Q4,I rarely worry about things,FacetQuestion
anxiousne05,Anxiousness Q5,I am always worrying about something,FacetQuestion
anxiousne06,Anxiousness Q6,I worry about almost everything,FacetQuestion
anxiousne07,Anxiousness Q7,I am a very anxious person,FacetQuestion
anxiousne08,Anxiousness Q8,I always expect the worst to happen,FacetQuestion
anxiousne09,Anxiousness Q9,I am always fearful or on edge about bad things that might happen,FacetQuestion
attention01,Attention Seeking Q1,I do things to make sure people notice me,FacetQuestion
attention02,Attention Seeking Q2,I do things so that people just have to admire me,FacetQuestion
attention03,Attention Seeking Q3,I love getting the attention of other people,FacetQuestion
attention04,Attention Seeking Q4,I like standing out in a crowd,FacetQuestion
attention05,Attention Seeking Q5,My behavior is often bold and grabs people’s attention,FacetQuestion
attention06,Attention Seeking Q6,I like being a person who gets noticed,FacetQuestion
attention07,Attention Seeking Q7,I crave attention,FacetQuestion
attention08,Attention Seeking Q8,I like to draw attention to myself,FacetQuestion
callousne01,Callousness Q1,I often get into physical fights,FacetQuestion
callousne02,Callousness Q2,Being rude and unfriendly is just a part of who i am,FacetQuestion
callousne03,Callousness Q3,I really do not care if i make other people suffer,FacetQuestion
callousne04,Callousness Q4,It does not really bother me to see other people get hurt,FacetQuestion
callousne05,Callousness Q5,I do not care about other people’s feelings,FacetQuestion
callousne06,Callousness Q6,You need to step on some toes to get what you want in life,FacetQuestion
callousne07,Callousness Q7,I would never harm another person,FacetQuestion
callousne08,Callousness Q8,I do not care if my actions hurt others,FacetQuestion
callousne09,Callousness Q9,It is no big deal if i hurt other people’s feelings,FacetQuestion
callousne10,Callousness Q10,I do not care about other people’s problems,FacetQuestion
callousne11,Callousness Q11,I sometimes hit people to remind them who is in charge,FacetQuestion
callousne12,Callousness Q12,I enjoy making people in control look stupid,FacetQuestion
callousne13,Callousness Q13,I do not see the point in feeling guilty about things i have done that have hurt other people,FacetQuestion
callousne14,Callousness Q14,Most of the time i do not see the point in being friendly,FacetQuestion
deceitful01,Deceitfulness Q1,I make up stories about things that happened that are totally untrue,FacetQuestion
deceitful02,Deceitfulness Q2,I often make up things about myself to help me get what i want,FacetQuestion
deceitful03,Deceitfulness Q3,People do not realize that i am flattering them to get something,FacetQuestion
deceitful04,Deceitfulness Q4,I can be sneaky if it means getting what i want,FacetQuestion
deceitful05,Deceitfulness Q5,Sometimes you need to exaggerate to get ahead,FacetQuestion
deceitful06,Deceitfulness Q6,I do not hesitate to cheat if it gets me ahead,FacetQuestion
deceitful07,Deceitfulness Q7,I try to tell the truth even when it is hard,FacetQuestion
deceitful08,Deceitfulness Q8,I use people to get what i want,FacetQuestion
deceitful09,Deceitfulness Q9,Lying comes easily to me,FacetQuestion
deceitful10,Deceitfulness Q10,I will stretch the truth if it is to my advantage,FacetQuestion
depressiv01,Depressivity Q1,I often feel like nothing i do really matters,FacetQuestion
depressiv02,Depressivity Q2,I am very dissatisfied with myself,FacetQuestion
depressiv03,Depressivity Q3,The future looks really hopeless to me,FacetQuestion
depressiv04,Depressivity Q4,The world would be better off if i were dead,FacetQuestion
depressiv05,Depressivity Q5,I am so ashamed by how i have let people down in lots of little ways,FacetQuestion
depressiv06,Depressivity Q6,I often feel like a failure,FacetQuestion
depressiv07,Depressivity Q7,I talk about suicide a lot,FacetQuestion
depressiv08,Depressivity Q8,I am useless as a person,FacetQuestion
depressiv09,Depressivity Q9,Life looks pretty bleak to me,FacetQuestion
depressiv10,Depressivity Q10,Everything seems pointless to me,FacetQuestion
depressiv11,Depressivity Q11,I often feel just miserable,FacetQuestion
depressiv12,Depressivity Q12,I have no worth as a person,FacetQuestion
depressiv13,Depressivity Q13,I know i will commit suicide sooner or later,FacetQuestion
depressiv14,Depressivity Q14,I feel guilty much of the time,FacetQuestion
distracti01,Distractibility Q1,I lose track of conversations because other things catch my attention,FacetQuestion
distracti02,Distractibility Q2,I can not concentrate on anything,FacetQuestion
distracti03,Distractibility Q3,I am not good at planning ahead,FacetQuestion
distracti04,Distractibility Q4,I can not achieve goals because other things capture my attention,FacetQuestion
distracti05,Distractibility Q5,I have trouble pursuing specific goals even for short periods of time,FacetQuestion
distracti06,Distractibility Q6,I have trouble keeping my mind focused on what needs to be done,FacetQuestion
distracti07,Distractibility Q7,I am easily distracted,FacetQuestion
distracti08,Distractibility Q8,I can not focus on things for very long,FacetQuestion
distracti09,Distractibility Q9,I get pulled off-task by even minor distractions,FacetQuestion
eccentric01,Eccentricity Q1,I often have ideas that are too unusual to explain to anyone,FacetQuestion
eccentric02,Eccentricity Q2,I often say things that others find odd or strange,FacetQuestion
